"Distribution of fish abundance (number of fish) by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
1.0,0.0,3.5706004E7,1.75152048E8,1.75461302E11,5.4153882E8,2.54960538E10,7130990.5,5.23233264E11,1.75035351E10,1.16301968E8,3.74266082E12,4.041721E10,1.19856588E13,8.2057687E9,3.94207488E9
1.0,10.0,1.18397216E8,2.3748864E7,5.9289078E9,3.22399072E8,1.02329897E10,7445640.5,2.0653856E7,7.203498E9,5.1395728E8,2.5650409E9,4.6160584E9,1.55156152E12,2.06119437E9,4.43771072E8
1.0,20.0,27489.365,53.552803,1.83599504E8,2.65828672E8,2.3559222E7,6813327.0,10203.957,396178.75,6.1417352E7,284731.12,893476.9,0.0,3400218.8,1.56771392E8
1.0,30.0,0.0,0.0,1.3862751E7,1.7884824E8,0.0,1864188.8,0.0,4913.3735,1140692.8,0.0,0.0,0.0,0.0,8.077808E7
1.0,40.0,0.0,0.0,0.0,6628101.5,0.0,0.0,0.0,1.979664,3280.7375,0.0,0.0,0.0,0.0,2.4581656E7
1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,3.2414616E7,2.9274574E7,1.32190855E11,2.55761741E9,3.43336837E10,1940119.0,2.15294935E11,4.8466115E9,3.4488912E7,1.9069911E11,1.1689175E10,6.0315533E12,1.11804045E9,7.9710929E10
2.0,10.0,1.88099856E8,7.0470128E7,9.0086492E9,7.2236392E7,9.503486E9,189252.12,2.858682E7,4.6549627E9,1.77000304E8,4.8512666E9,1.27673948E10,7.0217887E12,1.8289847E9,7.8103104E8
2.0,20.0,3708008.0,508351.38,1.17906778E9,1.4241292E7,1.12773848E8,528135.06,197181.98,1172091.6,7.032344E7,8.506368E8,1.43753088E8,22.202229,4.2955976E7,1.11684184E8
2.0,30.0,470.59152,6345.7754,9.8828568E7,1.36676144E8,0.0,5105816.0,0.4496922,77756.8,1.052134E7,13.42887,2758824.0,0.0,6245.798,1.90853088E8
2.0,40.0,0.0,133.07474,1.3239996E7,5.15886464E8,0.0,7492528.0,0.0,7631.703,473775.56,0.0,143215.31,0.0,0.0,3.46012896E8
