"Distribution of additional mortality biomass (tonne of fish dead from unexplicited cause per time step of saving) by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
1.0,0.0,355.76086,216.37253,18276.87,8604.89,628.211,1475.9065,6957.39,4065.3054,2273.9453,12272.1455,4022.1077,8173.287,40740.59,92684.35
1.0,10.0,2.6306481,0.0,779.094,153.49818,520.4229,0.0,1.2860663,0.0,0.0,0.0,0.0,2866.5842,199.61865,551.0597
1.0,20.0,0.0029369092,0.0,125.68008,594.9269,7.562752,0.0,0.0028128831,0.0,0.0,0.0,0.0,0.0,1.9095845,700.1803
1.0,30.0,0.0,0.0,30.816141,1074.7325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790.4693
1.0,40.0,0.0,0.0,0.0,74.02017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.84314
1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,355.72205,18.6437,24153.178,81135.516,1300.5374,1553.5858,1472.7993,4.213357,1816.2356,109.893776,102.03658,9447.358,3227.0833,749196.94
2.0,10.0,5.7569003,0.0,1168.2509,25.132772,594.63947,0.0,2.1877575,0.0,0.0,0.0,0.0,11413.054,230.42857,878.607
2.0,20.0,0.53829026,0.0,643.11884,35.751873,47.313293,0.0,0.059658438,0.0,0.0,0.0,0.0,4.2573626E-7,30.528393,545.2576
2.0,30.0,1.9173221E-4,0.0,272.83667,1054.3418,0.0,0.0,3.0583846E-7,0.0,0.0,0.0,0.0,0.0,0.013208235,1990.3104
2.0,40.0,0.0,0.0,70.339226,7625.7285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6315.4214
2.0,50.0,0.0,0.0,0.0,2869.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5912.3735
2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.9393
2.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.35847
2.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.104809E-4
2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,355.62994,13.677164,21105.25,80092.6,323.57635,7331.542,135.85454,15.341827,1049.5739,90.01915,35.882355,6744.0674,2314.7864,511132.53
3.0,10.0,6.024643,0.0,521.02325,369.3656,159.62569,0.0,1.1149405,0.0,0.0,0.0,0.0,16863.32,36.19612,2694.1768
3.0,20.0,0.7029159,0.0,320.45953,437.47293,23.274359,0.0,0.12942196,0.0,0.0,0.0,0.0,7.5902004E-5,36.515083,1880.3988
3.0,30.0,0.0933264,0.0,142.75789,213.74164,0.008430015,0.0,0.007074504,0.0,0.0,0.0,0.0,0.0,1.0540397E-4,1058.8734
3.0,40.0,0.04826972,0.0,163.47757,2149.8025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.05048
3.0,50.0,0.0,0.0,2.077714,7388.4536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0489
3.0,60.0,0.0,0.0,0.0,75.929504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.3595
3.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.073902
3.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0323715E-4
3.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
