"Distribution of fish species biomass (tonne) by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
1.0,0.0,68.8432,326.31293,416858.03,468.98126,78753.22,4.935552,343026.8,37018.305,78.77506,339399.34,30289.186,2.2227638E7,12026.325,18475.336
1.0,10.0,656.77423,374.33932,137451.03,6164.9595,135591.97,176.62302,192.6128,74385.15,20641.285,33087.89,39055.863,1.2568029E7,20433.96,36067.266
1.0,20.0,0.7275208,0.0050737034,22456.668,27723.756,1996.5608,945.2634,0.42473748,36.577072,7194.001,17.755266,48.529537,0.0,193.36275,44177.484
1.0,30.0,0.0,0.0,5694.512,53405.97,0.0,590.8079,0.0,1.6607025,378.8092,0.0,0.0,0.0,0.0,50621.305
1.0,40.0,0.0,0.0,0.0,3760.3062,0.0,0.0,0.0,0.0013100742,2.2926931,0.0,0.0,0.0,0.0,27170.764
1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
