"Distribution of fish biomass (tonne) by Trophic level. Class i designates interval [i,i+1[."
"Time","TL","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.9000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,0.16871507,0.0,131.61314,1.8580984,0.035454165,762.5279,0.0,3445930.8,2304.9324,0.0
1.0,2.1,0.0,0.014555452,0.0,0.0,0.19151185,0.0,247.13707,1.4237216,0.0069480487,526.8111,0.0,9563193.0,814.50946,0.0
1.0,2.2,0.0,0.068437025,0.0,0.0,0.09793088,0.0,81.963905,1.6756002,0.006644782,513.859,0.0,5417228.0,538.01385,0.0
1.0,2.3000002,0.0,0.0013884113,0.0,0.0,0.1591095,0.0,73.32196,1.6366379,0.057103746,795.7835,0.0068913833,2072726.6,2501.822,0.0
1.0,2.4,0.0,0.009279657,0.0,0.0,0.034509506,0.0,92.85103,1.69767,0.14945734,857.4839,1.4566097E-5,3282786.0,3076.4766,0.0
1.0,2.5,0.0,5.5899927E-6,0.0,0.0,0.81212085,0.0,21.210314,3.5620635,0.332059,1272.182,0.6634896,2220503.2,1676.4641,0.0
1.0,2.6,0.0,0.06949835,0.0,0.0,1.9507173,0.0,24.815964,1.7639925,0.19522658,2105.885,0.43614736,2046099.2,2842.0098,0.0
1.0,2.7,0.0,0.008679095,0.0,0.0,2.1476202,0.0,26.240858,1.6048617,0.3104699,1895.2642,0.0,1081747.2,2063.2278,0.0
1.0,2.8000002,0.0,0.033686545,0.0,0.0,0.9402012,0.0,73.94969,3.3101614,0.21897264,2619.8142,0.1676448,1533222.8,4052.327,0.0
1.0,2.9,0.0,0.03014521,0.0,0.0,1.4151213,0.0,112.13794,1.5128045,0.2509686,2350.5928,0.1283334,1332904.8,2373.7988,0.0
