"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,3.4732052287593756E-4,0.99204727922774,0.0,0.0,0.0049192936149039315,0.0,4.206646426322437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2.0,0.0010482128652306861,6.998955198452858,0.050860743263109735,0.0,6.278546886989551E-4,0.0065624938065666685,4.901065814033597,0.0,0.0,0.0,0.0,0.2097632999513095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.0,8.642019082359842E-4,8.590871488311981,2.0687155987216007E-9,0.0,0.009385618568532072,0.04044054064985228,4.82112978999557,0.0,0.0,0.0,0.0,0.21896487475102805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0,7.687850894449922E-4,10.557225402384658,0.08457352794795911,0.0,0.015798261337322393,0.04465306141009614,4.7941483163105145,0.0,0.0,0.0,0.0,0.2188122067313164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5.0,9.668393110640204E-4,12.930333663371002,0.11978707526831063,0.0,0.012499476913376642,0.04499133581323618,4.86981717924433,0.0,0.0,0.0,0.0,0.21887318008932102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6.0,6.062957707921203E-4,9.450960366192852,0.0029284978321802964,0.0,0.025064838428173523,0.05339653824899973,4.736310467279597,0.0,0.0,0.0,0.0,0.21896394127526309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7.0,6.296483592715808E-4,6.8291788193512275,0.14714889457830513,0.0,0.03869794424887868,0.04046847435662222,4.747213226817102,0.0,0.0,0.0,0.0,0.21897993612264158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8.0,7.023289599755581E-4,7.094858773084728,0.8814239921128123,0.0,0.03881048082707574,0.03146425172403182,4.778253246602433,0.0,0.0,0.0,0.0,0.21903060907324048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9.0,6.512058186232388E-4,8.33339390532272,1.0536925529528853,0.0,0.025585924296528433,0.023170317829163296,4.750608057632442,0.0,0.0,0.0,0.0,0.21743838982694974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10.0,5.890966857803288E-4,11.01094149642561,0.4288245788464165,0.0,0.015913965945507303,0.01730180302425927,4.735480565942923,0.0,0.0,0.0,0.0,0.2189470942450792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
