"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,2.322756996706745,1.1688597344191887,0.0,0.0,0.13756625934233715,0.0,0.8649523706285707,0.12250739755624836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2.0,1.2837916568189125,4.00153147963951,1.5758789781665743,0.0,0.19289386115184032,0.24583926299782918,0.8137014965758483,0.14293604083121242,0.1291995637264064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.0,1.456692993797113,9.672110148518174,2.529040757045447,0.0,0.01202975468451601,0.24513562555322752,0.823742096928258,0.13469852995992887,0.14692099737893316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0,0.9267100348571005,12.813620759060342,0.8478442740817288,0.0,0.014493211429210007,0.24210035135350905,0.796106503290578,0.13051981794454204,0.14757910613389494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5.0,1.350903668416882,8.608510331987102,2.5964070161739192,0.0,0.04217161356826077,0.12841733058285504,0.8166494847658009,0.13661340718444084,0.14702312550789262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6.0,1.6693660624220654,7.618249304332668,20.44890792882356,0.0,0.032299634101002575,0.019432581395315975,0.8326680296978956,0.13862703851249186,0.15070044959947074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7.0,1.2164186183664072,10.298228146734392,7.289953409281523,0.0,0.019089832503584554,0.0017684872900654615,0.8102419491195167,0.1355188350741003,0.14666023085649907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8.0,1.0578993033556838,7.901539572836807,0.8890227078621223,0.0,0.044939366595863506,0.01923138263892822,0.8025011651506322,0.13876760657790438,0.14771294261170995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9.0,0.6334786186859391,8.040476490353406,2.288473546119873,0.0,0.06239817289969404,0.07983264165557563,0.782472324108551,0.13782736714097285,0.14714630628474126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10.0,0.6830915251892363,9.359093222118767,1.9553715375239835,0.0,0.0402676279940171,0.08872917855342259,0.7858676785307687,0.13738965884681795,0.14735333356821576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11.0,0.5207383780816548,10.696692740454324,1.9000239409503863,0.0,0.04057775391404086,0.02697757459370795,0.7778947476611685,0.1370153872988239,0.1479068454076459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12.0,0.21136221429425459,7.455199776153639,1.372239374888181,0.0,0.05593275093554466,0.05795828325864695,0.7630422840737884,0.14212395248983684,0.1479786831216992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13.0,0.22401146668919267,8.101881469609582,1.9256444624821039,0.0,0.057425245889207215,0.0532423967253262,0.763601236136518,0.1421460627502442,0.1479765627333237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
