"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.013016572228675753,0.31521156535106837,0.0,0.0,0.11544185881956338,0.0,2.0506429047018937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2.0,0.03332603953952349,4.743460520192137,3.041074973885675,0.0,0.07826828503232416,0.1288608390326706,2.4769803823442755,0.0,0.0,0.0,0.0,0.4150198395056755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.0,0.03300131912622851,5.571012656727992,2.6703406491803885,0.0,0.05539003348076483,0.04388407470440911,2.4728896251539028,0.0,0.0,0.0,0.0,0.43105594385736434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0,0.03310739553480603,6.096708601047324,1.891796312103431,0.0,0.04816079889627483,0.030229113189930108,2.474782828143845,0.0,0.0,0.0,0.0,0.4368593624894458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5.0,0.03694520984373688,5.524793177166783,0.9132954437138787,0.0,0.05850054724676688,0.03625648644637543,2.506947920613514,0.0,0.0,0.0,0.0,0.43954373385157786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6.0,0.031866316596792815,6.66034824307686,2.221451688103489,0.0,0.029339273180302366,0.02141770950274173,2.4630646358441726,0.0,0.0,0.0,0.0,0.43630898415864333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7.0,0.03603370253608461,6.818951101149415,2.276536468708001,0.0,0.022966120656057614,0.021211155389372814,2.4998996951067927,0.0,0.0,0.0,0.0,0.44035363094686497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8.0,0.03619914939609112,6.046864200018676,1.787011304297916,0.0,0.03816785024312614,0.04093342358283349,2.506773245130287,0.0,0.0,0.0,0.0,0.43967839872482783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9.0,0.03279929612627188,9.082366693637617,0.9522545915617875,0.0,0.03350570955171819,0.03231970822474586,2.473095512838245,0.0,0.0,0.0,0.0,0.4383183243705001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10.0,0.029940668325785815,5.685733395190441,0.3501915468994205,0.0,0.0454938896603341,0.05162415654622081,2.449763809264637,0.0,0.0,0.0,0.0,0.44001526446686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11.0,0.029029881281296122,7.402793846502206,1.3118996654912656,0.0,0.04944445204482134,0.04553068344103769,2.4443817319887367,0.0,0.0,0.0,0.0,0.4398277137290915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12.0,0.023362705836908918,6.745839959871527,0.8224694715928291,0.0,0.045043925147501836,0.05217221730553547,2.3987777344794208,0.0,0.0,0.0,0.0,0.4400709581858796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13.0,0.02073301673681605,6.487599111030081,1.092810111341346,0.0,0.04736639320174367,0.05128462076578524,2.3795146534070075,0.0,0.0,0.0,0.0,0.439576850300763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14.0,0.015696147651799056,6.180191407827049,1.3564233014510747,0.0,0.047946684981036845,0.06296576728166517,2.34544293642614,0.0,0.0,0.0,0.0,0.44001474974930593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15.0,0.020670211845536662,6.146262889553875,1.0912713405684136,0.0,0.04558726899419884,0.05897081627189063,2.378162916293465,0.0,0.0,0.0,0.0,0.44001630018222937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16.0,0.0218695395493131,5.967980076623212,0.9705212991032033,0.0,0.060308001072238084,0.06016874262146299,2.3882211642666475,0.0,0.0,0.0,0.0,0.44001571857855504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17.0,0.03259998904497952,7.2015931625573915,0.41260553476437467,0.0,0.05073057199708714,0.06759000819100355,2.471299206634518,0.0,0.0,0.0,0.0,0.43998134083995194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18.0,0.027432745606586262,6.705865816823077,0.6833901565244908,0.0,0.05213538322035284,0.06813777489887657,2.427743875387392,0.0,0.0,0.0,0.0,0.4400252047365945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19.0,0.03740963805672344,5.945845578507097,0.6335666887991961,0.0,0.053411143194463426,0.06271294300243313,2.5129372852605756,0.0,0.0,0.0,0.0,0.4398666955076918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20.0,0.040931300457995964,6.0913944777091125,0.5622492153691294,0.0,0.048018054552254406,0.07260791203398727,2.5425828497517613,0.0,0.0,0.0,0.0,0.4399187065488547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21.0,0.0413492821864657,5.777632586745451,0.7668031208111721,0.0,0.059135216063636135,0.05005567401552408,2.5479622380252445,0.0,0.0,0.0,0.0,0.43985904630019207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22.0,0.04354474417979312,9.460853966744727,0.6794638929506297,0.0,0.048910435083304685,0.06464519372840295,2.56995469892593,0.0,0.0,0.0,0.0,0.43997856006037206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23.0,0.042859374371709585,6.9480621878313125,0.8272195189032462,0.0,0.052111384868719746,0.05253485802309079,2.5682073061818866,0.0,0.0,0.0,0.0,0.4397562449820961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
