"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.32701952500290554,1.6470323062063197,0.0,0.0,0.08367547180606208,0.0,0.832334873464894,0.06999564722720751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2.0,0.47166494885005383,7.628002057761746,1.5782426050204457,0.0,0.13206356772446887,0.17465419560474843,0.8542814508736668,0.07972288779447581,0.0740193623886057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.0,0.5769931511783227,4.970252969655369,1.8853708028703395,0.0,0.1369542806343034,0.18613297050208022,0.8689339883475699,0.08129875151593172,0.08447480362508596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0,0.2460975975153967,5.557515219252889,1.1273442502164315,0.0,0.09166676756070818,0.202976830951635,0.8215045369511603,0.08088062960888864,0.08481252304969505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5.0,0.49340878613204503,6.13470246763118,1.8738720734549617,0.0,0.040893427431788,0.13685155363466864,0.8574932927630052,0.08038819529755357,0.08438681514949084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6.0,0.4174617676519974,6.613376169076329,1.3629249434597492,0.0,0.02849358519331378,0.05873268107855493,0.8461073615285798,0.08000976218062403,0.08384732850404378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7.0,0.5204308623284379,6.460919829033748,1.7212137790511146,0.0,0.03188593071481209,0.04518249529960147,0.8622532339425734,0.08055527751335746,0.08471116774199049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8.0,0.4817726670738479,5.844850320672283,1.0424122452737254,0.0,0.04797891746674335,0.04054674057735312,0.8557423923113862,0.08100796757033739,0.08469973601142985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9.0,0.3059694494985403,6.7890641267270855,2.359911927881731,0.0,0.06148372773680192,0.05901892634979513,0.8300441926844321,0.08064298041035932,0.08435166971476793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10.0,0.20028452341798747,6.542883397759719,0.9988590979321048,0.0,0.04792298150502853,0.03925878781094736,0.8152620454090593,0.08029701096699399,0.08475737613316968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11.0,0.1808718258758014,7.514913941887489,1.3681599667123578,0.0,0.06150670003329288,0.06195061443769589,0.8128816121858305,0.0800018776858301,0.08438421852626335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12.0,0.12105912597547033,6.017092690779396,1.288122363885054,0.0,0.051520960170047814,0.06845034836639269,0.8043287446381219,0.08133969858015482,0.08455161291929345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13.0,0.11463723324341903,6.0290759252021315,1.1630673769397073,0.0,0.062176148511665225,0.05944722370019472,0.8034208213472015,0.08149282251736822,0.08484380140186487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14.0,0.1517688937461562,6.745941034005244,0.7580497205760638,0.0,0.0733335021656873,0.07837139615814907,0.8084856823241386,0.08070594178853073,0.08491788266460083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15.0,0.15099087585541593,7.577489682458972,1.2381435319779943,0.0,0.06823153808485367,0.07859772374473323,0.8081918205542009,0.0804081094048222,0.08495572749620035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16.0,0.30348621424838745,7.4712260829853605,1.4548474353836096,0.0,0.05985665411019959,0.07289691235767706,0.8293288770263457,0.08017841523626174,0.08474344116424698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17.0,0.4285667452717814,8.277037072386804,1.5737156817627722,0.0,0.06590050192714086,0.06119103974810154,0.8475377706325139,0.07928519198557094,0.0845875361734676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18.0,0.4987830798205311,6.483699435021434,0.8991214721071189,0.0,0.06714338097477372,0.08987432381642245,0.8575429700298317,0.08027875977568677,0.08470925039684003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19.0,0.5549617435294228,7.223917958761261,0.9039279521310843,0.0,0.06224931741915249,0.09052937232974508,0.8664253921936286,0.07963239957069036,0.0849050680676052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20.0,0.7389222321779794,8.361788713791476,1.0391111628367138,0.0,0.06941318784157352,0.0619310240044682,0.8940779700225255,0.07924486601996414,0.08485635619066331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21.0,0.7006114592557935,6.487332034397108,0.907633150462207,0.0,0.07421365840500167,0.07261705530502777,0.8885830036379935,0.07994927799827034,0.08488297872863051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22.0,0.5803048859059567,9.675011843088086,0.7471649898460296,0.0,0.06058852160876789,0.07473244382768406,0.8693999706569869,0.0782074762520138,0.0848618610459119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23.0,0.6273234793067838,9.36986884941195,0.9169391835849422,0.0,0.07505412511926324,0.07454659660024267,0.8773055350906979,0.0783049338079024,0.08493717102989697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24.0,0.6242435270699094,8.199977653004826,0.6438538082025815,0.0,0.05892298721607313,0.0834506195384304,0.8774802982024612,0.07895935167326061,0.08491386837525708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25.0,0.5956317950449734,7.980395977350377,0.6991033329468609,0.0,0.05938979134287143,0.0827877825066548,0.8732367281550792,0.07873597035415104,0.0847599308746067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
26.0,0.5971212313268826,7.09010970536755,1.266082988747083,0.0,0.056583785379194486,0.06904931262097155,0.8736257819350414,0.07940460982879845,0.08473455369202121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27.0,0.42866125805216326,8.526532272452291,1.338877076523958,0.0,0.04414312158697635,0.06770454677458322,0.8479114346799931,0.07827598213220954,0.08465395028909752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
28.0,0.4918677503097324,8.420202523607458,0.6923762260628329,0.0,0.059407885844683914,0.0584755920515787,0.8567417454146566,0.079291989321142,0.08489959838983854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29.0,0.49603827380184046,8.393549971227197,0.898569600342619,0.0,0.07007519058263773,0.07414573882475939,0.856829338358014,0.07958821917028296,0.08491288264824798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30.0,0.47375316066735784,8.618353768664408,0.7779347149859409,0.0,0.06291689983363294,0.0774851291376123,0.8539010839355535,0.07914873050425437,0.08486720173422847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
31.0,0.611479310694002,9.826686677852864,0.9789849425817986,0.0,0.06946821304890578,0.061280655819724396,0.8749167655738662,0.0779712707016381,0.08480061499538476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
32.0,0.5290115492327548,9.765348226029504,0.42006720603682507,0.0,0.06263062778368929,0.0780923668377186,0.8618694682749743,0.07814044256258477,0.08499860828112586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
33.0,0.5801530690598511,8.546828088856763,1.1944302776581486,0.0,0.07198386253980071,0.057815701288599135,0.8697062140633532,0.07891226700125756,0.08481333500070141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
34.0,0.5545057464620805,8.230909186976241,0.8786827631572907,0.0,0.05630826595866309,0.06683880512194951,0.8656277117084831,0.07927058682749172,0.08494734071599384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
35.0,0.606098939276412,8.062817222670391,1.24047692608903,0.0,0.047773620070744864,0.05638776398773833,0.8742858565132202,0.07931097413236608,0.08495494295739427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,0.5355305137153998,9.43555321777465,0.7865303002542726,0.0,0.05198142615184755,0.06221318633289208,0.8636750112184574,0.07810154891206439,0.08483762589069567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,0.5397181272623839,10.257453912960731,1.13665671058241,0.0,0.052581587286678826,0.04732293707882626,0.8631557787048177,0.07835524120855736,0.08472061186310073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
38.0,0.5111899519208819,7.978982604371344,1.1433350605488635,0.0,0.0701411148888948,0.046724180315156974,0.8593823324309322,0.07917025551365299,0.0848636792031422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
39.0,0.4541827715280308,8.323293590661038,0.8075599809242437,0.0,0.05315112707007088,0.06964483818968997,0.8507996441992022,0.0793410286134286,0.08497035059999247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
40.0,0.5541323275807227,8.668182472341922,0.9936529430819179,0.0,0.05936563005899857,0.0633852916389828,0.8654767534732204,0.0789698296130888,0.08485392989135719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
41.0,0.644796463680716,8.159842249042478,0.8548704114573473,0.0,0.06735029317990303,0.071908472464032,0.8793528374018159,0.07889655562308416,0.08492229850072557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
42.0,0.5967685535855842,8.314998499371393,0.7478982628079398,0.0,0.06348004549576744,0.09500428612546685,0.8726469597283805,0.07890333030307067,0.0848663428319835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
43.0,0.5968662106235771,10.225134946668927,0.7835782532743105,0.0,0.060784286347607075,0.1062890576442773,0.8719235935319049,0.07822114658317778,0.08484024106101277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
44.0,0.5980532935991657,8.769135854553634,0.7091593546148199,0.0,0.06057774955858045,0.09394737532706604,0.873381461358945,0.07828986248825204,0.08473659217835923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
45.0,0.5861128474036185,7.87059833510252,0.8079480044835715,0.0,0.07333350926005576,0.08322062722091952,0.8707571195964281,0.07958236319099511,0.08489034904617254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
46.0,0.4867832977512838,9.417874208803514,1.0299964413056812,0.0,0.06490479376505345,0.1021616340741723,0.856214127567097,0.07825173924018003,0.08483990443197083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
47.0,0.5132952180995474,9.407428653556487,1.2044205046126761,0.0,0.04860761329735043,0.06611996160143935,0.859843017742103,0.0784659367397757,0.08488679146238667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
48.0,0.5424143442955202,8.105202561821406,0.7829616942179908,0.0,0.04833256475461741,0.05617269890501118,0.8650016435101163,0.07914523023805678,0.08486756434089912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
49.0,0.45543566410680136,8.508379033362816,0.8456082888129024,0.0,0.053183006353072215,0.07818940578051083,0.850670912392815,0.07925258440045939,0.08494476237059391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
50.0,0.5177298218952445,8.219395293874241,0.821904237891351,0.0,0.05121091723467805,0.057145140092840996,0.8604487270881133,0.0795080006409818,0.08497111269881857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
51.0,0.45712961004604186,8.544082235327007,0.9359658256411386,0.0,0.058922961972202245,0.05614978365751632,0.8509402756793064,0.0793629514799745,0.08494256645937107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
52.0,0.5109560612111409,8.728747371906833,0.7296597245921878,0.0,0.05625577573291997,0.05119943520637007,0.8588257430791209,0.07939667820750093,0.08496343671605171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
53.0,0.5439947251124744,8.236336780581743,0.8732108986361654,0.0,0.06447658248007147,0.07443946627612638,0.8636314514109654,0.08055889266034538,0.08497828062957234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
54.0,0.5851654066449757,8.828481978622941,0.8030115975498435,0.0,0.0687832424890188,0.07468646823421933,0.8698248864843577,0.07898674616661337,0.08496605040658428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
55.0,0.6387639754836834,8.894518052567161,0.8953285019589949,0.0,0.06056117646459649,0.08806851376085857,0.8788312424167722,0.07950481177533558,0.08491771653413727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
56.0,0.6442426044446601,9.004281232638712,0.7687042547869717,0.0,0.061512501967718916,0.06921384918416118,0.8788779952852647,0.07933104097911765,0.08496350172552615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
57.0,0.5359001697409581,9.200039508950569,0.9524470436286949,0.0,0.056223296965299485,0.07053297600033817,0.8629523197218055,0.07957988072934893,0.08498457190658522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
58.0,0.61487473666227,7.788375354546769,0.6638541634665327,0.0,0.05937696667207643,0.06623168514412509,0.8751805722036569,0.08015599661908493,0.08498880963394664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
59.0,0.5779100926598819,8.27644894270661,0.6956184580882264,0.0,0.056707457063708895,0.07405273676570415,0.8693012817922071,0.07958996396852364,0.08496276441174731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
60.0,0.5648345685284203,8.592114574402515,0.6719428450448722,0.0,0.0672263242868807,0.07906539455892321,0.8675426938789864,0.07920917425274451,0.08495507461008638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
61.0,0.631042472787097,8.086011974933577,1.1135736401504848,0.0,0.06866482611173763,0.07327156876292575,0.8772701124457417,0.07938508622759438,0.08497757860165828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
62.0,0.6522065031932618,7.773943436279557,1.3559577432132957,0.0,0.07063508357523551,0.07388710033259487,0.8802092247083988,0.07917359794245055,0.08490274392889227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
63.0,0.5765282685446408,8.409588058230124,1.0337553000550808,0.0,0.05280251278903898,0.08149403035642595,0.8688024062239085,0.07879229164832915,0.08478480166516386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
64.0,0.5264417319638043,9.669886842075451,1.4174627683557184,0.0,0.04745992202846963,0.06756034784595323,0.8617999473878841,0.0784618384943094,0.0847065813125032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
65.0,0.5099993697266632,8.262909804908078,1.056628916977657,0.0,0.06584984780272435,0.05192217753363047,0.8597750678462165,0.07920421367684725,0.08469357124869373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
66.0,0.5235362079451513,8.168717652786537,0.8149970788769161,0.0,0.06472918998501023,0.0870456441975211,0.8613437266094516,0.07942624948711079,0.08493109204403845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
