"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.40286315943938245,1.0001217967577547,0.0,0.0,0.11722271442961221,0.0,1.5297292123087172,0.09937498477031555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2.0,0.3586930610403324,6.094477711492757,2.0049486015527265,0.0,0.166374378955278,0.18657534300509354,1.515727331986921,0.11487559700226685,0.10466641142390369,0.0,0.0,0.09243991371131866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.0,0.32542597927372113,3.3365881600314213,1.7639324884600809,0.0,0.16300613285840776,0.19526924159133247,1.4999004385211532,0.1174281619415543,0.11974182366624339,0.0,0.0,0.10573240761062438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0,0.23163366720407927,3.500695495419628,2.0589789628914725,0.0,0.1620951870675758,0.1831638687101219,1.4669648561260373,0.1170342524272599,0.11975876402816972,0.0,0.0,0.10578515467134852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5.0,0.31868995162384134,2.411999417132198,1.1658013997304697,0.0,0.1698566125979638,0.18827717837546623,1.500527692454237,0.11844040009173185,0.1199152748056546,0.0,0.0,0.1059049114577588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6.0,0.2226351694729251,5.315850517076894,1.4972348968053482,0.0,0.14128261697056732,0.16700846410936374,1.4647988316969023,0.11658430910562725,0.11971829943654612,0.0,0.0,0.10572590897467676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7.0,0.3247678527365869,4.762797486807893,2.4235528363153787,0.0,0.1165021163398726,0.15471885229352933,1.5029600522900024,0.11664067972119638,0.11944031042016222,0.0,0.0,0.10550024749333312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8.0,0.2314427117321751,6.108592819195091,1.594081281153051,0.0,0.10699216090541412,0.1595987024997978,1.4696356242540398,0.11524175882467276,0.11939313838680517,0.0,0.0,0.1054563652058412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9.0,0.18989658716909297,4.168187464111275,3.0269022101550696,0.0,0.13552714798667015,0.13084390654405606,1.4545656425590252,0.1164828311593605,0.11921608392360296,0.0,0.0,0.10521450093188527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10.0,0.16155224065915044,4.9303282177351875,1.3167103374421107,0.0,0.14053422068621568,0.15202809992848065,1.4448271986209162,0.11631644163323576,0.11977858769991051,0.0,0.0,0.10580543649278097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
