"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.01958739988722125,3.727409887954877,0.0,0.0,0.02859277704638206,0.0,1.7216654148190467,0.0,0.0,0.0,0.024608651662842103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2.0,0.006025212425122468,5.9225815438988585,1.9454997705270456,0.0,0.0688091052161885,0.04439081718700683,1.6530406866900194,0.0,0.0,0.0,0.11919822963573849,0.11928022720874415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.0,0.005789236366394328,8.697685174849843,3.8784160316914056,0.0,0.016119880982580027,0.025487098054022227,1.6525126864222779,0.0,0.0,0.0,0.10138523898684092,0.19029764864921375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0,0.010155439972477271,7.117815966685162,3.9004523381640923,0.0,0.01931887693497981,0.029702545264030523,1.6728406021412423,0.0,0.0,0.0,0.10073269895624563,0.1947987467596965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5.0,0.006978358142303389,7.903268688186427,1.8252252965421556,0.0,0.010982273134930375,0.03617143862016777,1.6575436018892908,0.0,0.0,0.0,0.098668896626564,0.1939533329783443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6.0,0.0065439722363367335,8.038503942760567,2.805923025872913,0.0,0.004065556317133751,0.018586166176995406,1.6557306133510477,0.0,0.0,0.0,0.094207404067025,0.19209791173262095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7.0,0.006687781944530737,6.645790278820843,1.7405830448548605,0.0,0.009084215477480258,0.009893378174545208,1.6564784458320236,0.0,0.0,0.0,0.09975348857755188,0.19382058261436494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8.0,0.0045905463402957335,6.210676247615387,1.5968703627488792,0.0,0.011490787332968214,0.03789917990972337,1.6465809232595567,0.0,0.0,0.0,0.0922731660132049,0.193380562307777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9.0,0.0016243355196624125,6.757381084824301,1.669412535962603,0.0,0.016313752195770113,0.03495559933291975,1.6334665815352023,0.0,0.0,0.0,0.10156378472131876,0.1936340273240134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10.0,4.287688254133325E-4,7.272185792301122,0.9038488424502125,0.0,0.015208466621310137,0.03879097011313333,1.6283227969291634,0.0,0.0,0.0,0.10131570381103547,0.19401601824242787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11.0,3.393118387160032E-4,7.021805778721901,1.1989384574069757,0.0,0.008561549741921514,0.03967967793700737,1.6279419666451407,0.0,0.0,0.0,0.09418093195594118,0.19408415953466496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12.0,4.677154418809583E-4,6.831951310735607,2.407303784180309,0.0,0.027804856428909078,0.04529983586545891,1.6284884051792587,0.0,0.0,0.0,0.11373939878134752,0.1934546849315492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13.0,6.92927785647457E-4,6.873008648188551,1.8756720770724722,0.0,0.023368597109708462,0.04968068892364149,1.6294492632721511,0.0,0.0,0.0,0.09286905862987897,0.19378860073456883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14.0,6.656561789676335E-4,6.931124391021051,2.2385003440056903,0.0,0.023901624874046495,0.046519742606527185,1.6293350861149083,0.0,0.0,0.0,0.09898543607571146,0.19381301111501278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15.0,0.0014410750620056797,6.049741831886788,1.6850656134788153,0.0,0.02804388271338585,0.05395937396176143,1.63267682786438,0.0,0.0,0.0,0.10800406923983721,0.19355574120862143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16.0,0.003415823338803082,7.579498587283496,0.7259716434174864,0.0,0.021171387837017417,0.047828354699193325,1.6413307107279185,0.0,0.0,0.0,0.10220215847201329,0.19393046711619352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17.0,0.006925135382874406,6.88733938066116,0.8456904759766034,0.0,0.0322332149020439,0.059230609017856546,1.657612760243543,0.0,0.0,0.0,0.10136214334750925,0.19392757318811993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18.0,0.00852323030624972,5.772324513551429,0.7187687433798778,0.0,0.02745142669131787,0.061891146898043994,1.6648712128126812,0.0,0.0,0.0,0.10920415137378638,0.19392709277636716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19.0,0.014761011666156199,6.117101857964835,0.537877318594681,0.0,0.04005979270552732,0.07345476184280743,1.6955552872647883,0.0,0.0,0.0,0.10596234557431815,0.19386188487924033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
