"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.006969802377687173,1.2986808999113069,0.0,0.0,0.010089054027944862,0.0,4.474903781608214,0.36791833469448526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2.0,0.006027245898446771,16.629056003598972,0.04217671905178471,0.0,0.03133311587642674,0.06610935654393621,4.43692098703045,0.35412086248513924,0.38814083567160257,0.0,0.0,0.1169002834360239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.0,0.003949867715647725,8.115462027523629,0.010119064584282626,0.0,0.05483649610457136,0.11099662026297392,4.364057871496784,0.37672677901018753,0.40499851346873494,0.0,0.0,0.12197991840021238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0,0.002878534439570506,9.62235481402399,0.46619822830842733,0.0,0.07552866467352441,0.12367877347583177,4.3332999315552945,0.3717322213705229,0.405002506760625,0.0,0.0,0.12197483292687653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5.0,0.00548155606642955,8.856846954237938,0.372314098584109,0.0,0.04680465156723394,0.10546728127671906,4.411012627024991,0.37474417546164335,0.40501237461802686,0.0,0.0,0.12198962085941355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6.0,0.004507733030186275,8.226559595354209,0.27187572608497546,0.0,0.041240305579838675,0.13348929980044114,4.380690476490975,0.37755319643711627,0.4049602136061635,0.0,0.0,0.12197160366813214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7.0,0.005349401042431263,7.509739638723216,0.29891461100571753,0.0,0.051204518210139265,0.1261471652108946,4.411235235515398,0.38224555149477446,0.4050154523213095,0.0,0.0,0.12197990014105135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8.0,0.004971631102390722,6.932138921079003,0.2785498816193883,0.0,0.05581209460498342,0.11297901258204147,4.401033683724145,0.38079375766084234,0.40499643754202885,0.0,0.0,0.12198099405733434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9.0,0.0024884578595791946,8.12170445217222,0.3474460213604885,0.0,0.04728501880710689,0.08471727841145729,4.323372690079155,0.37877184954691945,0.40491357451117516,0.0,0.0,0.12196373302118753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10.0,0.004166757998187401,9.510911377220118,0.35508725315858874,0.0,0.03829073414945346,0.07263152504949966,4.374184804540243,0.3721217896547152,0.4049919568014572,0.0,0.0,0.12197296759425516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
