"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Size","Mpred","Mstar","Mnat","F","Z","Mfor"
1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,40.0,0.017564803,0.009456778,0.0,0.19216162,0.0,0.0,0.0
2.0,50.0,0.0,0.004865775,0.0,0.14722426,0.0,0.0,0.0
2.0,60.0,0.0,0.0013340489,0.0,0.077084355,0.0,0.0,0.0
2.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,10.0,1.2025331,0.014723373,0.0,0.0,0.0,0.0,0.0
3.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,50.0,0.0,0.028104493,0.0,0.18980825,0.0,0.0,0.0
3.0,60.0,0.0,0.049130008,0.0,0.21366589,0.0,0.0,0.0
3.0,70.0,0.0,0.026969172,0.0,0.22425184,0.0,0.0,0.0
3.0,80.0,0.0,0.01133563,0.0,0.12939468,0.0,0.0,0.0
3.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,50.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,70.0,0.0,0.06280825,0.0,0.21041209,0.0,0.0,0.0
4.0,80.0,0.0,0.042124067,0.0,0.22181734,0.0,0.0,0.0
4.0,90.0,0.0,0.01890278,0.0,0.24569827,0.0,0.0,0.0
4.0,100.0,0.0,5.1435683E-5,0.0,0.10310272,0.0,0.0,0.0
4.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,50.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,60.0,3.479672E-5,0.0016334028,0.0,0.34801498,0.0,0.0,0.0
5.0,70.0,0.0,0.042386487,0.0,0.20290202,0.0,0.0,0.0
5.0,80.0,0.0,0.05302218,0.0,0.21477363,0.0,0.0,0.0
5.0,90.0,0.0,0.047756307,0.0,0.21662058,0.0,0.0,0.0
5.0,100.0,0.0,0.038572222,0.0,0.23851292,0.0,0.0,0.0
5.0,110.0,0.0,0.03608102,0.0,0.19961184,0.0,0.0,0.0
5.0,120.0,0.0,0.0,0.0,0.6886772,0.0,0.0,0.0
5.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0,50.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0,70.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0,80.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0,90.0,0.0,0.059449468,0.0,0.2167925,0.0,0.0,0.0
6.0,100.0,0.0,0.06405562,0.0,0.217493,0.0,0.0,0.0
6.0,110.0,0.0,0.043249637,0.0,0.23155189,0.0,0.0,0.0
6.0,120.0,0.0,0.030396568,0.0,0.3673675,0.0,0.0,0.0
6.0,130.0,0.0,0.011211209,0.0,0.753302,0.0,0.0,0.0
6.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,50.0,15.334865,0.0,0.0,0.027497165,0.0,0.0,0.0
7.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,70.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,80.0,0.0,0.020996397,0.0,0.15510172,0.0,0.0,0.0
7.0,90.0,0.0,0.067923054,0.0,0.2073437,0.0,0.0,0.0
7.0,100.0,0.0,0.055761617,0.0,0.2177731,0.0,0.0,0.0
7.0,110.0,0.0,0.047370955,0.0,0.21741503,0.0,0.0,0.0
7.0,120.0,0.0,0.031377796,0.0,0.23181808,0.0,0.0,0.0
7.0,130.0,0.0,0.042793322,0.0,0.38301122,0.0,0.0,0.0
7.0,140.0,0.0,0.008636882,0.0,0.5241529,0.0,0.0,0.0
7.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0,50.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0,60.0,0.54902536,0.00609255,0.0,0.091311835,0.0,0.0,0.0
8.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,80.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0,90.0,0.0,0.06255216,0.0,0.21542114,0.0,0.0,0.0
8.0,100.0,0.0,0.04134824,0.0,0.21081454,0.0,0.0,0.0
8.0,110.0,0.0,0.041863356,0.0,0.21921939,0.0,0.0,0.0
8.0,120.0,0.0,0.052669857,0.0,0.22184344,0.0,0.0,0.0
8.0,130.0,0.0,0.023648802,0.0,0.22586314,0.0,0.0,0.0
8.0,140.0,0.0,0.008273417,0.0,0.24702889,0.0,0.0,0.0
8.0,150.0,0.0,5.9889135E-6,0.0,0.4296463,0.0,0.0,0.0
8.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,1.9810597,7.27972E-11,109.15147,0.0,0.0,0.0,0.0
9.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0,50.0,6.0162697,0.0,0.0,0.41928512,0.0,0.0,0.0
9.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0,70.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0,80.0,0.0,0.0,0.0,0.00912354,0.0,0.0,0.0
9.0,90.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0,100.0,0.0,0.0126966955,0.0,0.21979174,0.0,0.0,0.0
9.0,110.0,0.0,0.03610531,0.0,0.21765122,0.0,0.0,0.0
9.0,120.0,0.0,0.033883084,0.0,0.21663931,0.0,0.0,0.0
9.0,130.0,0.0,0.02335417,0.0,0.22672224,0.0,0.0,0.0
9.0,140.0,0.0,0.025403181,0.0,0.22680278,0.0,0.0,0.0
9.0,150.0,0.0,0.019201472,0.0,0.2512772,0.0,0.0,0.0
9.0,160.0,0.0,0.0,0.0,0.328719,0.0,0.0,0.0
9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0,50.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0,70.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0,80.0,0.32231268,0.014393085,0.0,0.73459065,0.0,0.0,0.0
10.0,90.0,2.954555E-5,0.016145566,0.0,0.0729874,0.0,0.0,0.0
10.0,100.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0,110.0,0.0,0.027201349,0.0,0.2124787,0.0,0.0,0.0
10.0,120.0,0.0,0.030074248,0.0,0.2203477,0.0,0.0,0.0
10.0,130.0,0.0,0.031147081,0.0,0.2219377,0.0,0.0,0.0
10.0,140.0,0.0,0.023103982,0.0,0.22038461,0.0,0.0,0.0
10.0,150.0,0.0,0.01952848,0.0,0.23858085,0.0,0.0,0.0
10.0,160.0,0.0,1.5204105E-5,0.0,0.36938027,0.0,0.0,0.0
10.0,170.0,0.0,0.0,0.0,0.18731195,0.0,0.0,0.0
10.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0,10.0,4.013419,0.029407915,0.0,0.0,0.0,0.0,0.0
11.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0,50.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0,60.0,4.165237,0.003146001,0.0,0.1720729,0.0,0.0,0.0
11.0,70.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0,80.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0,90.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0,100.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0,110.0,0.0,0.021894343,0.0,0.20854968,0.0,0.0,0.0
11.0,120.0,0.0,0.017522149,0.0,0.21929824,0.0,0.0,0.0
11.0,130.0,0.0,0.017247533,0.0,0.21698129,0.0,0.0,0.0
11.0,140.0,0.0,0.01554029,0.0,0.22458509,0.0,0.0,0.0
11.0,150.0,0.0,0.012488131,0.0,0.22228874,0.0,0.0,0.0
11.0,160.0,0.0,0.002256509,0.0,0.24852765,0.0,0.0,0.0
11.0,170.0,0.0,1.449837E-4,0.0,0.2628272,0.0,0.0,0.0
11.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.0,50.0,0.71991956,0.032295924,0.0,0.20979212,0.0,0.0,0.0
12.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.0,70.0,0.5010267,0.02543382,0.0,0.18734063,0.0,0.0,0.0
12.0,80.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.0,90.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.0,100.0,0.0,0.055634953,0.0,0.21001107,0.0,0.0,0.0
12.0,110.0,0.0,0.12195079,0.0,0.38820827,0.0,0.0,0.0
12.0,120.0,0.0,0.014286765,0.0,0.21494077,0.0,0.0,0.0
12.0,130.0,0.0,0.018794537,0.0,0.218886,0.0,0.0,0.0
12.0,140.0,0.0,0.019427784,0.0,0.2218988,0.0,0.0,0.0
12.0,150.0,0.0,0.01311747,0.0,0.2235706,0.0,0.0,0.0
12.0,160.0,0.0,0.006496086,0.0,0.22907996,0.0,0.0,0.0
12.0,170.0,0.0,0.001334652,0.0,0.26028693,0.0,0.0,0.0
12.0,180.0,0.0,0.0,0.0,0.07432156,0.0,0.0,0.0
12.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0,50.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0,60.0,0.17512403,0.018798785,0.0,0.1728561,0.0,0.0,0.0
13.0,70.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0,80.0,0.08825826,0.047160942,0.0,0.24552809,0.0,0.0,0.0
13.0,90.0,0.0,0.0013263975,0.0,0.0821115,0.0,0.0,0.0
13.0,100.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0,110.0,0.0,0.010937242,0.0,0.21845697,0.0,0.0,0.0
13.0,120.0,0.0,0.008212547,0.0,0.21179698,0.0,0.0,0.0
13.0,130.0,0.0,0.011998919,0.0,0.2205539,0.0,0.0,0.0
13.0,140.0,0.0,0.0073759803,0.0,0.21945179,0.0,0.0,0.0
13.0,150.0,0.0,0.0056227553,0.0,0.22142148,0.0,0.0,0.0
13.0,160.0,0.0,0.009152947,0.0,0.2233351,0.0,0.0,0.0
13.0,170.0,0.0,0.0018046324,0.0,0.23958026,0.0,0.0,0.0
13.0,180.0,0.0,0.0,0.0,0.23756368,0.0,0.0,0.0
13.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.0,10.0,2.0349631,0.06641104,0.0,0.04040107,0.0,0.0,0.0
14.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.0,50.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.0,60.0,0.47933945,0.008718496,0.0,0.2779993,0.0,0.0,0.0
14.0,70.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.0,80.0,0.33866104,0.015158529,0.0,0.23751748,0.0,0.0,0.0
14.0,90.0,0.048419002,0.011822602,0.0,0.33593148,0.0,0.0,0.0
14.0,100.0,0.0,0.014830253,0.0,0.12064824,0.0,0.0,0.0
14.0,110.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.0,120.0,0.0,0.013963889,0.0,0.2246462,0.0,0.0,0.0
14.0,130.0,0.0,0.005109102,0.0,0.21840148,0.0,0.0,0.0
14.0,140.0,0.0,0.002132622,0.0,0.21804066,0.0,0.0,0.0
14.0,150.0,0.0,0.0011695653,0.0,0.22171114,0.0,0.0,0.0
14.0,160.0,0.0,0.004425004,0.0,0.22262815,0.0,0.0,0.0
14.0,170.0,0.0,5.9718655E-5,0.0,0.22273365,0.0,0.0,0.0
14.0,180.0,0.0,0.0,0.0,0.27037483,0.0,0.0,0.0
14.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,1.6909969,0.0,108.39261,0.0,0.0,0.0,0.0
15.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.0,50.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.0,70.0,0.16896155,0.06116012,0.0,0.21218579,0.0,0.0,0.0
15.0,80.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.0,90.0,0.0066958177,0.013147404,0.0,0.21487527,0.0,0.0,0.0
15.0,100.0,2.2936016E-4,0.01713444,0.0,0.24951813,0.0,0.0,0.0
15.0,110.0,0.0,0.0025134524,0.0,0.19516979,0.0,0.0,0.0
15.0,120.0,0.0,3.6110895E-4,0.0,0.21933289,0.0,0.0,0.0
15.0,130.0,0.0,0.0038594822,0.0,0.21947403,0.0,0.0,0.0
15.0,140.0,0.0,0.0035809975,0.0,0.21644719,0.0,0.0,0.0
15.0,150.0,0.0,0.002609775,0.0,0.22276068,0.0,0.0,0.0
15.0,160.0,0.0,0.0032127507,0.0,0.22205153,0.0,0.0,0.0
15.0,170.0,0.0,1.2774323E-4,0.0,0.22714461,0.0,0.0,0.0
15.0,180.0,0.0,8.221715E-4,0.0,0.22579259,0.0,0.0,0.0
15.0,190.0,0.0,0.0,0.0,0.04695094,0.0,0.0,0.0
16.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0,50.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0,70.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0,80.0,0.25085133,0.07134795,0.0,0.22415341,0.0,0.0,0.0
16.0,90.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0,100.0,2.1746343E-4,0.022541592,0.0,0.21837428,0.0,0.0,0.0
16.0,110.0,0.0,0.0077872053,0.0,0.22988544,0.0,0.0,0.0
16.0,120.0,0.0,0.004227618,0.0,0.2368975,0.0,0.0,0.0
16.0,130.0,0.0,0.0058517638,0.0,0.21754357,0.0,0.0,0.0
16.0,140.0,0.0,0.0016781489,0.0,0.21963122,0.0,0.0,0.0
16.0,150.0,0.0,0.0031763266,0.0,0.22036472,0.0,0.0,0.0
16.0,160.0,0.0,0.002061653,0.0,0.22090104,0.0,0.0,0.0
16.0,170.0,0.0,1.7768379E-4,0.0,0.22054519,0.0,0.0,0.0
16.0,180.0,0.0,2.3136236E-4,0.0,0.22307327,0.0,0.0,0.0
16.0,190.0,0.0,0.0,0.0,0.22152312,0.0,0.0,0.0
17.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0,50.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0,70.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0,80.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0,90.0,0.106526665,0.01014074,0.0,0.2656503,0.0,0.0,0.0
17.0,100.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0,110.0,0.0,0.033392712,0.0,0.22774568,0.0,0.0,0.0
17.0,120.0,0.0,0.0063759866,0.0,0.2289935,0.0,0.0,0.0
17.0,130.0,0.0,0.0027125303,0.0,0.22255234,0.0,0.0,0.0
17.0,140.0,0.0,0.0022499165,0.0,0.21795525,0.0,0.0,0.0
17.0,150.0,0.0,0.0017304068,0.0,0.21924429,0.0,0.0,0.0
