"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Size","Mpred","Mstar","Mnat","F","Z","Mfor"
1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,20.0,0.038043965,0.284392,0.0,0.0,0.0,0.0,0.0
1.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,10.0,3.4961157,0.11694175,0.0,0.34261483,0.0,0.0,0.0
2.0,20.0,2.700371,0.14724924,0.0,0.3369212,0.0,0.0,0.0
2.0,30.0,0.96924466,0.18142399,0.0,0.3966137,0.0,0.0,0.0
2.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,50.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,60.0,0.0,0.0,0.0,0.2480768,0.0,0.0,0.0
2.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,10.0,3.6941082,0.08016804,0.0,0.07447785,0.0,0.0,0.0
3.0,20.0,4.7397003,0.05721437,0.0,0.21772611,0.0,0.0,0.0
3.0,30.0,9.739354,0.061042342,0.0,0.41044202,0.0,0.0,0.0
3.0,40.0,0.025176022,0.024273187,0.0,0.4361919,0.0,0.0,0.0
3.0,50.0,0.0,0.0016379706,0.0,0.6129463,0.0,0.0,0.0
3.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,70.0,0.0,0.0,0.0,0.32173875,0.0,0.0,0.0
3.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,20.0,3.998567,0.05029457,0.0,0.11965247,0.0,0.0,0.0
4.0,30.0,2.885049,0.041207228,0.0,0.2602416,0.0,0.0,0.0
4.0,40.0,0.36957765,0.03415419,0.0,0.4200553,0.0,0.0,0.0
4.0,50.0,0.021230444,2.74092E-4,0.0,0.41019335,0.0,0.0,0.0
4.0,60.0,0.0,0.0013302598,0.0,0.48812786,0.0,0.0,0.0
4.0,70.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,80.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,90.0,0.0,0.0,0.0,0.0549912,0.0,0.0,0.0
4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,20.0,1.7725028,0.057195395,0.0,0.13995382,0.0,0.0,0.0
5.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,50.0,1.6840641,0.002369066,0.0,0.5214895,0.0,0.0,0.0
5.0,60.0,0.054590624,0.0,0.0,0.4177935,0.0,0.0,0.0
5.0,70.0,0.0,0.0,0.0,0.44858053,0.0,0.0,0.0
5.0,80.0,0.0,0.0,0.0,0.5556292,0.0,0.0,0.0
5.0,90.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,100.0,0.0,0.0,0.0,0.0733216,0.0,0.0,0.0
5.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.55219805,5.9385784E-4,54.33905,0.0,0.0,0.0,0.0
6.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0,20.0,3.6946998,0.03316299,0.0,0.17492576,0.0,0.0,0.0
6.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0,40.0,1.6043999,0.036388777,0.0,0.4327982,0.0,0.0,0.0
6.0,50.0,1.0079705,0.005590689,0.0,0.5126427,0.0,0.0,0.0
6.0,60.0,0.07250443,0.0,0.0,0.45427555,0.0,0.0,0.0
6.0,70.0,1.7092292E-6,0.0,0.0,0.4292498,0.0,0.0,0.0
6.0,80.0,0.0,3.6613332E-4,0.0,0.4481518,0.0,0.0,0.0
6.0,90.0,0.0,0.0,0.0,0.5019128,0.0,0.0,0.0
6.0,100.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.69833064,6.7594556E-6,54.57011,0.0,0.0,0.0,0.0
7.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,30.0,2.0718122,0.02821495,0.0,0.16416618,0.0,0.0,0.0
7.0,40.0,1.3378389,0.022648724,0.0,0.80069715,0.0,0.0,0.0
7.0,50.0,1.6402683,0.0,0.0,0.6509712,0.0,0.0,0.0
7.0,60.0,1.3054361,0.0,0.0,0.45685914,0.0,0.0,0.0
7.0,70.0,0.15371792,0.0,0.0,0.42622823,0.0,0.0,0.0
7.0,80.0,7.484063E-9,0.0,0.0,0.426844,0.0,0.0,0.0
7.0,90.0,0.0,0.0,0.0,0.46420115,0.0,0.0,0.0
7.0,100.0,0.0,0.0,0.0,0.52003574,0.0,0.0,0.0
7.0,110.0,0.0,0.0,0.0,0.049881943,0.0,0.0,0.0
7.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0,30.0,3.2687185,0.039129946,0.0,0.29437724,0.0,0.0,0.0
8.0,40.0,0.5268239,0.054822214,0.0,0.43947288,0.0,0.0,0.0
8.0,50.0,3.3218668,0.0,0.0,0.459542,0.0,0.0,0.0
8.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0,70.0,0.011322871,0.0,0.0,0.4280363,0.0,0.0,0.0
8.0,80.0,0.0014289799,0.0,0.0,0.41780823,0.0,0.0,0.0
8.0,90.0,0.0,0.0,0.0,0.44456685,0.0,0.0,0.0
8.0,100.0,0.0,0.0,0.0,0.4438085,0.0,0.0,0.0
8.0,110.0,0.0,0.0,0.0,1.3036584,0.0,0.0,0.0
8.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.9035867,4.8265565E-7,57.253204,0.0,0.0,0.0,0.0
9.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0,20.0,1.7617371,0.0352465,0.0,0.16832966,0.0,0.0,0.0
9.0,30.0,0.96517175,0.038190786,0.0,0.28206122,0.0,0.0,0.0
9.0,40.0,0.39755917,0.045444272,0.0,0.413509,0.0,0.0,0.0
9.0,50.0,1.9798198,0.20144765,0.0,1.0566431,0.0,0.0,0.0
9.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0,70.0,2.9438536,0.0,0.0,0.7614758,0.0,0.0,0.0
9.0,80.0,0.041682996,0.0,0.0,0.43110612,0.0,0.0,0.0
9.0,90.0,0.0,0.0,0.0,0.42822272,0.0,0.0,0.0
9.0,100.0,0.0,0.0,0.0,0.45481667,0.0,0.0,0.0
9.0,110.0,0.0,0.0,0.0,0.4653707,0.0,0.0,0.0
9.0,120.0,0.0,0.0,0.0,0.15830351,0.0,0.0,0.0
9.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0,20.0,3.76792,0.06169989,0.0,0.07586175,0.0,0.0,0.0
10.0,30.0,0.49669546,0.052408468,0.0,0.27831507,0.0,0.0,0.0
10.0,40.0,0.26916164,0.020194972,0.0,0.44645315,0.0,0.0,0.0
10.0,50.0,0.38020015,0.004461507,0.0,0.4923326,0.0,0.0,0.0
10.0,60.0,0.6113878,0.0,0.0,0.46739435,0.0,0.0,0.0
10.0,70.0,0.70783967,0.0,0.0,0.7778184,0.0,0.0,0.0
10.0,80.0,0.08166888,0.0,0.0,0.4235366,0.0,0.0,0.0
10.0,90.0,2.0334733E-10,0.0,0.0,0.432405,0.0,0.0,0.0
10.0,100.0,0.0,0.0,0.0,0.44344255,0.0,0.0,0.0
10.0,110.0,0.0,0.0,0.0,0.4454106,0.0,0.0,0.0
10.0,120.0,0.0,0.0,0.0,1.4062098,0.0,0.0,0.0
10.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,1.0913855,1.5946156E-5,54.73148,0.0,0.0,0.0,0.0
11.0,10.0,3.7809265,0.055758417,0.0,0.0,0.0,0.0,0.0
11.0,20.0,3.3333282,0.0476633,0.0,0.08764409,0.0,0.0,0.0
11.0,30.0,1.2381366,0.05158419,0.0,0.39338523,0.0,0.0,0.0
11.0,40.0,1.7204345,0.0358913,0.0,0.47111523,0.0,0.0,0.0
11.0,50.0,0.26743823,0.059852134,0.0,0.9448656,0.0,0.0,0.0
11.0,60.0,0.1757014,0.0,0.0,0.55393,0.0,0.0,0.0
11.0,70.0,0.22109357,0.0,0.0,0.4417855,0.0,0.0,0.0
11.0,80.0,0.544891,0.0,0.0,1.0227327,0.0,0.0,0.0
11.0,90.0,5.197347E-4,0.0,0.0,0.41963485,0.0,0.0,0.0
11.0,100.0,0.0,0.0,0.0,0.44455975,0.0,0.0,0.0
11.0,110.0,0.0,0.0,0.0,0.43624482,0.0,0.0,0.0
11.0,120.0,0.0,0.0,0.0,0.4981279,0.0,0.0,0.0
11.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,1.0540097,1.151886E-5,53.636562,0.0,0.0,0.0,0.0
12.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.0,20.0,1.4188436,0.05388025,0.0,0.1536839,0.0,0.0,0.0
12.0,30.0,1.0213424,0.046543136,0.0,0.32766938,0.0,0.0,0.0
12.0,40.0,0.38800174,0.046442844,0.0,0.45142046,0.0,0.0,0.0
12.0,50.0,0.97059876,0.0,0.0,0.67251164,0.0,0.0,0.0
12.0,60.0,1.7479755,0.0,0.0,0.59039754,0.0,0.0,0.0
12.0,70.0,1.4385263,0.0,0.0,0.63298947,0.0,0.0,0.0
12.0,80.0,0.49839833,0.0,0.0,0.41509336,0.0,0.0,0.0
12.0,90.0,0.015755221,0.0,0.0,0.5480925,0.0,0.0,0.0
12.0,100.0,0.0,0.0,0.0,0.43393415,0.0,0.0,0.0
12.0,110.0,0.0,0.0,0.0,0.44861948,0.0,0.0,0.0
12.0,120.0,0.0,0.0,0.0,0.45788983,0.0,0.0,0.0
12.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.70931345,1.1200288E-7,53.302383,0.0,0.0,0.0,0.0
13.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0,20.0,2.2505,0.056610886,0.0,0.091778,0.0,0.0,0.0
13.0,30.0,1.389356,0.05954661,0.0,0.3537509,0.0,0.0,0.0
13.0,40.0,0.53820646,0.028996682,0.0,0.4471187,0.0,0.0,0.0
13.0,50.0,0.3943504,0.00342657,0.0,0.47722432,0.0,0.0,0.0
13.0,60.0,0.7074027,0.0,0.0,0.4851704,0.0,0.0,0.0
13.0,70.0,0.28405446,0.0,0.0,0.4632374,0.0,0.0,0.0
13.0,80.0,0.02614383,0.0,0.0,1.9075979,0.0,0.0,0.0
13.0,90.0,0.06627931,0.0,0.0,0.4195326,0.0,0.0,0.0
13.0,100.0,1.9876687E-4,0.0,0.0,0.4573828,0.0,0.0,0.0
13.0,110.0,0.0,0.0,0.0,0.44124964,0.0,0.0,0.0
13.0,120.0,0.0,0.0,0.0,0.43994582,0.0,0.0,0.0
13.0,130.0,0.0,0.0,0.0,0.6265656,0.0,0.0,0.0
13.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.84354424,1.3180838E-5,52.680874,0.0,0.0,0.0,0.0
14.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.0,20.0,2.04784,0.06715582,0.0,0.12841703,0.0,0.0,0.0
14.0,30.0,0.6381432,0.04750936,0.0,0.3864954,0.0,0.0,0.0
14.0,40.0,1.1626886,0.037758753,0.0,0.47713578,0.0,0.0,0.0
14.0,50.0,0.42811444,5.8308674E-4,0.0,0.4537919,0.0,0.0,0.0
14.0,60.0,0.3143903,0.0,0.0,0.47515428,0.0,0.0,0.0
14.0,70.0,2.6568098,0.0,0.0,0.6404326,0.0,0.0,0.0
14.0,80.0,0.2855459,0.0,0.0,0.43603837,0.0,0.0,0.0
14.0,90.0,0.00453224,0.0,0.0,0.605245,0.0,0.0,0.0
14.0,100.0,6.2670495E-7,0.0,0.0,0.43711138,0.0,0.0,0.0
14.0,110.0,0.0,0.0,0.0,0.45050117,0.0,0.0,0.0
14.0,120.0,0.0,0.0,0.0,0.44427428,0.0,0.0,0.0
14.0,130.0,0.0,0.0,0.0,0.4568275,0.0,0.0,0.0
14.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.80494654,2.3969486E-7,53.327015,0.0,0.0,0.0,0.0
15.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.0,20.0,1.5198022,0.06519524,0.0,0.16178216,0.0,0.0,0.0
15.0,30.0,0.90757,0.05993425,0.0,0.3358025,0.0,0.0,0.0
15.0,40.0,1.0093303,0.022514813,0.0,0.44542062,0.0,0.0,0.0
15.0,50.0,0.28963494,9.835563E-5,0.0,0.46599865,0.0,0.0,0.0
15.0,60.0,1.2127963,0.0,0.0,0.46207476,0.0,0.0,0.0
15.0,70.0,0.32164285,0.0,0.0,0.45848855,0.0,0.0,0.0
15.0,80.0,0.14264211,0.0,0.0,0.5406757,0.0,0.0,0.0
15.0,90.0,0.03737155,0.0,0.0,0.4684864,0.0,0.0,0.0
15.0,100.0,7.628339E-6,0.0,0.0,0.4402302,0.0,0.0,0.0
15.0,110.0,0.0,0.0,0.0,0.4577545,0.0,0.0,0.0
15.0,120.0,0.0,0.0,0.0,0.4381424,0.0,0.0,0.0
15.0,130.0,0.0,0.0,0.0,0.47021285,0.0,0.0,0.0
15.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,1.4382299,7.60182E-8,53.52704,0.0,0.0,0.0,0.0
16.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0,20.0,1.2959471,0.06610062,0.0,0.18550074,0.0,0.0,0.0
16.0,30.0,0.7894965,0.052879486,0.0,0.37173617,0.0,0.0,0.0
16.0,40.0,0.94738376,0.039880317,0.0,0.4064502,0.0,0.0,0.0
16.0,50.0,0.094915494,6.767098E-4,0.0,0.4665441,0.0,0.0,0.0
16.0,60.0,0.40144452,0.0,0.0,0.4610399,0.0,0.0,0.0
16.0,70.0,0.5572344,0.0,0.0,0.46943715,0.0,0.0,0.0
16.0,80.0,0.05102218,0.0,0.0,0.4449912,0.0,0.0,0.0
16.0,90.0,0.00752927,0.0,0.0,0.49310607,0.0,0.0,0.0
16.0,100.0,3.809767E-4,0.0,0.0,0.4320397,0.0,0.0,0.0
16.0,110.0,0.0,0.0,0.0,0.44901833,0.0,0.0,0.0
16.0,120.0,0.0,0.0,0.0,0.44002685,0.0,0.0,0.0
16.0,130.0,0.0,0.0,0.0,0.46258724,0.0,0.0,0.0
16.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,1.2453372,0.0010392198,55.477535,0.0,0.0,0.0,0.0
17.0,10.0,2.8167179,0.08044861,0.0,0.10347965,0.0,0.0,0.0
17.0,20.0,0.6461001,0.07339311,0.0,0.29906565,0.0,0.0,0.0
17.0,30.0,0.81400204,0.040807173,0.0,0.41693664,0.0,0.0,0.0
17.0,40.0,0.47434735,0.039883308,0.0,0.48486552,0.0,0.0,0.0
17.0,50.0,0.61244345,0.001885613,0.0,0.45063466,0.0,0.0,0.0
17.0,60.0,0.18425289,0.0,0.0,0.47654298,0.0,0.0,0.0
17.0,70.0,0.74108654,0.0,0.0,0.47008568,0.0,0.0,0.0
17.0,80.0,0.090488516,0.0,0.0,0.44380736,0.0,0.0,0.0
17.0,90.0,0.095932335,0.0,0.0,0.4513756,0.0,0.0,0.0
17.0,100.0,0.0056026434,0.0,0.0,0.48802492,0.0,0.0,0.0
17.0,110.0,0.0,0.0,0.0,0.43935093,0.0,0.0,0.0
17.0,120.0,0.0,0.0,0.0,0.44736138,0.0,0.0,0.0
