"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Size","Mpred","Mstar","Mnat","F","Z","Mfor"
1.0,0.0,0.72495204,0.101683654,23.11232,0.0,0.0,0.0,0.0
1.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,20.0,0.010861788,0.06984057,0.13331445,0.0,0.0,0.0,0.0
1.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,2.2601025,0.13100989,25.56679,0.014171794,0.0,0.0,0.0
2.0,10.0,1.5228642,0.27328342,0.12492593,0.07220624,0.0,0.0,0.0
2.0,20.0,0.17316811,0.27675286,0.11997757,0.07018014,0.0,0.0,0.0
2.0,30.0,0.45894518,0.09066065,0.12162387,0.072804,0.0,0.0,0.0
2.0,40.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,1.9184654,0.12750608,24.790337,0.0072452333,0.0,0.0,0.0
3.0,10.0,1.2472008,0.25119016,0.124218225,0.08504901,0.0,0.0,0.0
3.0,20.0,0.3444202,0.25717935,0.12085138,0.09908099,0.0,0.0,0.0
3.0,30.0,0.07038387,0.16263632,0.11946158,0.10519798,0.0,0.0,0.0
3.0,40.0,0.021167947,0.0919696,0.12094751,0.106810525,0.0,0.0,0.0
3.0,50.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,1.5118592,0.12683871,23.828466,0.0071240244,0.0,0.0,0.0
4.0,10.0,2.0713837,0.2402291,0.12861614,0.06747525,0.0,0.0,0.0
4.0,20.0,0.38111332,0.26342693,0.12015368,0.1020005,0.0,0.0,0.0
4.0,30.0,0.21662618,0.19608538,0.12123234,0.09984081,0.0,0.0,0.0
4.0,40.0,0.018050795,0.14393802,0.119331285,0.10539028,0.0,0.0,0.0
4.0,50.0,0.03443012,0.020142542,0.13041002,0.11516936,0.0,0.0,0.0
4.0,60.0,0.0,0.0011510728,0.28929198,0.2555198,0.0,0.0,0.0
4.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,1.4333913,0.13507362,16.30231,0.031225612,0.0,0.0,0.0
5.0,10.0,4.3176856,0.20373952,0.14695503,0.048913456,0.0,0.0,0.0
5.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,30.0,0.9277059,0.13554762,0.1201931,0.10425321,0.0,0.0,0.0
5.0,40.0,0.26157442,0.07311501,0.12511112,0.110474475,0.0,0.0,0.0
5.0,50.0,0.0042461585,0.016660023,0.1201719,0.1061323,0.0,0.0,0.0
5.0,60.0,3.5479636E-4,0.0022345278,0.120756775,0.1066457,0.0,0.0,0.0
5.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,1.4347804,0.14141357,7.629472,0.07837245,0.0,0.0,0.0
6.0,10.0,4.4944687,0.20322284,0.14051366,0.050373133,0.0,0.0,0.0
6.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0,30.0,2.1580052,0.059526432,0.17661871,0.060446493,0.0,0.0,0.0
6.0,40.0,2.145277,2.7688348E-4,0.14490284,0.12790076,0.0,0.0,0.0
6.0,50.0,1.8053156,0.0020363128,0.13384497,0.11800676,0.0,0.0,0.0
6.0,60.0,8.492629,0.0,0.094742514,0.083518036,0.0,0.0,0.0
6.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,2.1066387,0.10247648,21.464771,0.05496668,0.0,0.0,0.0
7.0,10.0,3.6219416,0.16035357,0.15395539,0.0369183,0.0,0.0,0.0
7.0,20.0,2.8356504,0.118912786,0.13989092,0.054314055,0.0,0.0,0.0
7.0,30.0,5.7761292,0.044220854,0.1802097,0.07894215,0.0,0.0,0.0
7.0,40.0,5.391809,0.0,1.6076447,0.11280017,0.0,0.0,0.0
7.0,50.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,60.0,0.26572555,0.0,0.6040669,0.53344643,0.0,0.0,0.0
7.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,2.1581619,0.081169054,28.605965,0.013494765,0.0,0.0,0.0
8.0,10.0,2.5277393,0.16649704,0.13753201,0.026531905,0.0,0.0,0.0
8.0,20.0,1.642501,0.09957019,0.12589532,0.07911582,0.0,0.0,0.0
8.0,30.0,1.5376682,0.034059174,0.120504856,0.07830542,0.0,0.0,0.0
8.0,40.0,1.4079466,0.001165162,0.21009919,0.15857162,0.0,0.0,0.0
8.0,50.0,1.9495848E-5,0.0,0.120213136,0.106161244,0.0,0.0,0.0
8.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,1.3919756,0.08845749,27.2729,0.0,0.0,0.0,0.0
9.0,10.0,2.3462622,0.18996195,0.14077097,0.012937332,0.0,0.0,0.0
9.0,20.0,3.0814674,0.07909274,0.15219754,0.07103867,0.0,0.0,0.0
9.0,30.0,2.6035948,0.02321997,0.14234838,0.08249873,0.0,0.0,0.0
9.0,40.0,0.5508049,0.0,0.12190951,0.10760507,0.0,0.0,0.0
9.0,50.0,0.48720846,0.003855254,0.16399515,0.14487386,0.0,0.0,0.0
9.0,60.0,0.011912925,0.0020089624,1.4984851,1.3237813,0.0,0.0,0.0
9.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
