"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Size","Mpred","Mstar","Mnat","F","Z","Mfor"
1.0,0.0,0.54690325,0.11682444,28.083025,0.010580776,0.0,0.0,0.0
1.0,10.0,0.18738945,0.08155568,0.26847,0.015971266,0.0,0.0,0.0
1.0,20.0,0.034573928,0.025972929,0.16445118,0.023053033,0.0,0.0,0.0
1.0,30.0,0.013015719,0.0114165535,0.10475839,0.015986536,0.0,0.0,0.0
1.0,40.0,0.0,0.0060176784,0.085079774,0.01298307,0.0,0.0,0.0
1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,2.4424317,0.11807028,32.322742,0.009686993,0.0,0.0,0.0
2.0,10.0,2.085221,0.20675437,0.37491676,0.036055353,0.0,0.0,0.0
2.0,20.0,1.2365973,0.108781025,0.35515642,0.045983564,0.0,0.0,0.0
2.0,30.0,0.1938776,0.13126096,0.293599,0.035339404,0.0,0.0,0.0
2.0,40.0,0.033257313,0.15633337,0.30121025,0.03679231,0.0,0.0,0.0
2.0,50.0,4.22584E-8,0.14180203,0.31271628,0.03719846,0.0,0.0,0.0
2.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,70.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,80.0,0.0,0.0019207039,0.15548599,0.02372456,0.0,0.0,0.0
2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
