"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Size","Mpred","Mstar","Mnat","F","Z","Mfor"
1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,10.0,0.60852385,0.016531188,0.42493632,0.0,0.0,0.0,0.0
1.0,20.0,0.061510257,0.0025607715,0.451198,0.0,0.0,0.0,0.0
1.0,30.0,0.0,0.0018126145,0.37399304,0.0,0.0,0.0,0.0
1.0,40.0,0.0,0.0,0.21414696,0.0,0.0,0.0,0.0
1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,3.9006963,0.018330539,102.37358,0.0,0.0,0.0,0.0
2.0,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,40.0,0.01048501,0.068896376,0.4345764,0.10865772,0.0,0.0,0.0
2.0,50.0,3.4211887E-9,0.044241656,0.35305667,0.106335364,0.0,0.0,0.0
2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
