"Mean size of fish species in cm, weighted by fish numbers in the catches, and including first ages specified in input."
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
1.0,NaN,10.462747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.932508,9.673195,NaN,10.597329,15.781783
2.0,NaN,12.430031,8.783046,46.09875,NaN,49.019733,NaN,10.771835,19.837738,4.039209,10.763349,12.293884,11.494043,9.7135315
3.0,NaN,19.077911,9.30643,51.887394,NaN,67.42436,NaN,10.887217,28.3565,11.069418,14.610965,12.927703,19.457935,4.9829326
4.0,NaN,19.943241,8.245715,37.22111,NaN,80.83613,NaN,11.65297,39.479885,6.3410444,17.051586,13.914916,21.521866,5.7707825
5.0,64.03218,24.891136,7.6277757,38.169437,NaN,91.302055,NaN,18.637802,34.21825,6.90886,18.845255,14.420273,21.279074,8.933015
6.0,67.16074,21.850765,8.320928,36.95422,NaN,102.69398,NaN,25.185394,32.251865,6.942226,17.738186,15.065803,22.679005,9.652894
7.0,63.6891,23.025412,9.102278,36.355034,NaN,99.24939,NaN,25.060902,49.057034,7.495382,17.570171,15.897448,24.8241,8.920227
8.0,69.06442,22.56998,11.461016,35.392315,NaN,90.3338,NaN,20.667662,49.576004,9.118315,21.119635,16.472652,25.143963,8.0683565
9.0,77.06105,20.26553,12.378719,34.33242,NaN,105.60747,NaN,21.340805,33.295734,10.893581,20.654598,16.870054,27.379726,9.774621
10.0,84.25188,21.227678,11.5907955,34.436237,NaN,74.157455,NaN,22.84619,36.759365,12.7611065,17.469519,17.14408,31.569345,7.81427
11.0,89.135315,21.588232,12.110667,37.754005,NaN,80.47692,NaN,19.530334,34.780735,14.79198,18.141222,17.330893,27.582218,9.558146
12.0,91.22261,18.126163,12.819488,38.399433,NaN,81.16212,NaN,15.40696,31.487015,15.398172,19.831734,17.394444,26.032938,9.6463375
13.0,89.48225,18.438778,13.389149,37.88737,NaN,78.701584,NaN,15.407794,34.968067,14.935127,16.52174,17.351896,25.443098,13.020628
14.0,73.352806,18.998276,12.009056,42.40413,NaN,74.67937,NaN,15.159,31.644476,14.226938,18.203375,17.638746,24.064253,8.87535
15.0,73.40382,18.072365,12.324289,44.743702,NaN,70.04881,NaN,14.891839,30.259418,13.577384,18.322683,18.364645,20.73612,8.727286
16.0,77.17176,20.410265,13.137674,46.46935,NaN,89.161835,NaN,15.387133,31.987337,14.420543,18.98348,19.518517,18.853552,10.194329
17.0,83.257935,19.264574,13.48326,46.72019,NaN,90.24891,NaN,15.993215,27.0359,11.4114485,19.116913,17.351784,17.421547,9.888577
18.0,87.66219,17.739088,13.057078,49.73374,NaN,86.99802,NaN,16.668274,27.927174,10.766891,19.660912,16.495302,15.272877,13.623798
19.0,88.95017,16.656797,13.005686,53.256638,NaN,71.375656,NaN,17.030624,28.834057,10.517741,18.30223,16.56276,14.125463,8.315215
20.0,79.88984,16.397213,12.366806,49.86842,NaN,79.390755,NaN,16.905508,28.020878,10.593128,16.693743,16.924274,14.605739,11.968217
21.0,73.98297,18.711819,12.100982,51.596916,NaN,85.59923,NaN,16.161692,28.922922,10.415836,17.08599,17.552082,14.6778145,10.249962
22.0,72.89068,18.661057,12.063349,55.958023,NaN,100.84595,NaN,15.914203,29.458519,11.248707,16.52805,17.648893,14.494021,12.499262
