"Mean size of fish species in cm, weighted by fish numbers, and excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
1.0,14.535384,10.8654785,7.554335,28.681505,10.523262,26.730574,4.16968,9.097392,17.276852,2.9275005,9.675097,9.519206,10.630224,15.885622
2.0,15.408931,12.489091,8.184423,44.51468,10.577805,46.165844,4.4995165,9.4892025,19.629412,3.585141,10.767273,10.809952,11.478969,10.583499
3.0,17.056181,19.650076,7.642171,35.588184,9.9156,63.777138,4.583822,10.929578,25.578522,9.989906,14.657433,12.245551,19.537542,5.0711613
4.0,18.066978,20.753225,7.3921504,30.052279,10.018926,74.46536,4.9273753,12.470358,30.07556,6.9414535,17.072506,13.054805,21.48534,5.8134065
5.0,17.19299,26.642784,7.4678297,32.488274,10.853617,88.3206,5.7670307,19.645601,27.636187,6.7145567,18.870693,13.955312,21.199816,9.381628
6.0,41.09006,23.319826,8.35217,32.84193,12.115237,87.52153,10.901503,18.416199,28.723524,7.198954,17.746786,15.127462,22.634832,9.911543
7.0,52.249382,25.216011,9.470631,31.971432,12.584663,68.09127,16.091536,16.693613,36.70905,7.4648294,17.755745,15.940036,24.820742,9.30632
8.0,40.759747,24.100916,11.705219,30.303942,11.908122,56.062378,10.458745,15.375225,28.947605,8.444896,21.168255,16.502028,25.199383,8.226059
9.0,36.445507,21.738953,11.593738,29.360617,11.589892,64.354454,9.838012,15.875886,31.273058,10.42035,20.70144,16.890316,27.468987,10.394455
10.0,35.692375,22.248709,11.465891,31.741417,11.845895,61.89528,10.650011,15.471071,30.140331,12.039295,17.5091,17.158182,31.619364,8.006633
11.0,33.4204,23.017942,11.982421,33.480644,11.707055,61.590546,11.189312,13.113717,29.636967,14.226106,18.131329,17.34019,27.802488,10.05835
12.0,32.540077,18.829105,12.6315975,32.145645,11.516348,61.116745,10.343584,12.702498,28.329584,15.5759735,19.820534,17.336939,26.080702,9.867651
13.0,32.607845,18.81039,11.888778,35.288223,11.358801,54.211792,10.474685,12.800448,28.260292,15.549721,16.546349,17.305437,25.463625,13.16757
14.0,31.982256,19.724674,11.880484,38.18782,11.161262,50.12567,10.384715,13.671028,26.477264,14.10124,18.217905,17.369505,24.083393,9.268159
15.0,38.248436,18.923367,12.112286,39.1329,11.181706,57.59057,9.70951,14.196397,27.419926,12.805521,18.338306,17.124416,20.740908,9.0848675
16.0,33.733738,21.290184,12.649363,41.298054,11.471711,66.9626,9.492364,14.457228,26.193943,14.003,18.978415,14.815112,18.86079,10.552718
17.0,28.592407,20.273626,12.645024,40.238747,11.813734,64.727516,9.42597,15.076922,25.223297,12.154834,19.127737,14.072034,17.424644,10.139336
18.0,30.059124,18.553032,12.461405,43.548775,11.419283,57.87212,8.998722,15.784755,25.298737,11.163854,19.681177,14.495766,15.272424,14.302823
19.0,28.25654,17.226524,12.4370775,43.398643,11.410423,52.086056,9.328993,15.755855,26.169697,10.143003,18.370365,15.185162,14.12476,8.535945
20.0,28.33729,16.489344,11.878607,43.660397,11.800789,66.96416,9.052991,15.030755,25.127537,10.685758,16.705765,16.177458,14.607351,12.5843
21.0,29.902044,19.097567,11.803438,45.54645,11.540905,73.58923,9.179725,14.755102,25.816498,10.35047,17.098703,16.221165,14.676861,10.708317
22.0,31.533934,18.989666,11.7296505,45.750916,11.591007,97.00858,9.146156,14.026493,27.57793,10.943857,16.557772,14.962359,14.491511,12.9457655
23.0,31.592703,19.550875,11.722768,43.077526,11.94229,117.46036,9.418239,14.682385,27.135725,11.30095,16.496775,15.055342,14.726014,13.620078
24.0,29.173922,18.308287,11.901094,41.936924,11.478124,78.581276,9.5852165,14.717664,27.985628,10.234301,17.449284,16.241066,14.418819,9.452826
25.0,29.937634,18.759438,11.983812,43.45867,11.33804,60.811275,9.468345,14.760263,29.19208,11.074238,18.50328,16.715906,14.369946,10.910338
26.0,31.048843,17.749008,11.792462,45.516323,11.61881,73.680565,9.107625,14.20701,27.509844,11.141145,16.946903,16.384531,14.932823,9.988273
27.0,29.065973,17.839783,12.003714,43.87716,11.808444,85.66551,9.333941,13.70085,29.003239,12.404119,17.903584,16.8842,15.368268,9.482863
28.0,31.104712,18.147764,11.726181,38.11799,12.281095,90.394165,9.377841,13.399846,27.583263,12.78126,18.03131,17.547245,14.857968,12.810853
29.0,29.495605,18.161251,11.613098,42.465492,11.614066,99.323784,9.424257,13.372837,28.011673,12.972775,18.332478,17.80395,14.713935,12.032651
30.0,28.79073,18.124052,11.491701,44.83952,11.582358,73.36265,9.169332,13.621468,26.423534,13.267349,18.096815,18.138475,14.6335335,9.996094
31.0,29.72624,18.724455,11.653117,43.964947,11.84263,74.75291,9.154575,13.647301,26.820162,12.5429325,19.460644,18.916695,14.820256,13.445715
32.0,28.362053,18.472494,12.154665,40.489155,11.673825,89.60077,9.324466,13.629896,27.825232,12.360404,19.530287,19.79121,14.732969,8.473123
33.0,29.068422,18.733154,12.263125,40.978943,11.599118,96.14907,9.433835,14.236486,24.311306,12.310932,19.952356,14.982661,13.921329,14.1625595
34.0,28.3562,18.550575,12.363224,42.18011,11.4590645,109.801834,9.92837,14.505722,25.661802,12.605852,18.707073,14.947441,13.817841,8.495513
35.0,28.823372,18.587866,12.474327,46.96521,11.748702,114.91423,9.455403,14.207582,25.390207,12.535619,18.39665,15.398398,14.182124,12.750596
36.0,28.680052,19.490759,11.990965,41.665863,12.154687,106.727,9.38678,14.210313,25.57289,12.360855,19.30415,16.093496,14.346912,11.0246105
37.0,29.45213,18.990356,12.082495,42.8037,12.793246,70.484276,9.6481085,14.371033,26.654259,12.45994,19.737593,16.875008,14.545651,9.996572
38.0,29.036648,18.656906,11.958212,46.537487,11.664987,69.72198,9.8552475,14.348766,25.92441,13.591454,20.010742,16.836637,14.82499,10.814266
39.0,27.505823,17.980515,12.261521,45.842537,11.544584,88.24808,9.035877,14.232562,26.830475,12.929161,19.547058,16.78054,14.282907,11.182583
40.0,26.447662,17.43363,12.552268,44.532635,11.985137,103.858055,9.302937,14.56356,26.604162,11.835523,19.986755,15.391061,14.192228,11.954536
41.0,27.561789,18.853111,12.449154,42.293606,11.660872,102.71875,9.68601,14.866528,23.855257,10.70179,18.458767,15.561531,14.236358,9.048406
