"\ Biomass (tons) of preys at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","lesserSpottedDogfish < 10.0","lesserSpottedDogfish >=10.0","lesserSpottedDogfish >=30.0","redMullet < 10.0","redMullet >=10.0","redMullet >=30.0","pouting < 10.0","pouting >=10.0","pouting >=30.0","whiting < 10.0","whiting >=10.0","whiting >=30.0","poorCod < 10.0","poorCod >=10.0","poorCod >=30.0","cod < 10.0","cod >=10.0","cod >=30.0","dragonet < 10.0","dragonet >=10.0","dragonet >=30.0","sole < 10.0","sole >=10.0","sole >=30.0","plaice < 10.0","plaice >=10.0","plaice >=30.0","horseMackerel < 10.0","horseMackerel >=10.0","horseMackerel >=30.0","mackerel < 10.0","mackerel >=10.0","mackerel >=30.0","herring < 10.0","herring >=10.0","herring >=30.0","sardine < 10.0","sardine >=10.0","sardine >=30.0","squids < 10.0","squids >=10.0","squids >=30.0","Dinoflagellates","Diatoms","Microzoo","Mesozoo","Macrozoo","VSBVerySmallBenthos","SmallBenthos","MediumBenthos","LargeBenthos","VLBVeryLargeBenthos"
1.0,115.34854,622.5999,0.0,387.10965,330.7135,0.0,434458.4,158253.02,4347.3535,859.0198,43132.88,49293.37,89014.14,133511.22,0.0,11.859394,1298.2036,415.91055,355439.56,181.91199,0.0,40255.98,73826.375,1.4532689,277.13165,28193.426,241.90686,370456.75,31152.6,0.0,33748.285,37628.33,0.0,8720933.0,7165979.5,0.0,14740.467,19485.172,0.0,21746.59,94723.92,64235.12,11977.366,3.6285376E7,16524.72,198243.86,46000.0,92000.0,92000.0,92000.0,92000.0,92000.0
2.0,105.511086,1653.9888,0.038035095,193.22388,2109.041,2.913249,389380.25,366098.44,66856.83,1333.4762,3873.751,665884.0,81127.555,184545.8,0.0,0.9418497,188.60576,21754.984,247857.3,361.77682,4.9442664E-5,18404.408,55291.926,35.3603,44.617416,21262.248,4255.26,63958.566,160410.19,0.0029876295,35062.117,205442.36,879.0412,1.2389886E7,3.1181526E7,0.0,4603.5205,29339.396,1.4510077,227062.45,106924.625,1199817.9,11977.366,3.6285376E7,16524.72,198243.86,46000.0,92000.0,92000.0,92000.0,92000.0,92000.0
3.0,80.08341,1778.7306,36.013138,7.1605086,357.78735,30.281122,326812.8,169227.31,61447.043,3311.6592,43049.004,580255.56,33150.965,50757.945,2.251189,6.3315363,238.24812,52107.402,23327.65,183.94049,1.0528792,526.91473,7685.418,97.236374,42.567993,2501.0015,2296.716,15771.431,78652.82,3.1211588,1346.3792,95221.8,571.5055,2854859.8,4.9970536E7,0.0,378.92697,7739.558,0.013909296,331462.47,351828.75,196294.17,11977.366,3.6285376E7,16524.72,198243.86,46000.0,92000.0,92000.0,92000.0,92000.0,92000.0
4.0,103.31347,2208.6572,161.37128,7.7137346,228.65517,154.73952,374725.84,83453.42,50752.082,2962.7576,63000.527,475447.44,10286.711,19959.074,10.666279,12.131541,255.33318,74513.16,2317.6807,476.54684,2.0638957,84.081474,4554.085,197.43059,14.529175,1323.0793,2389.3628,98497.85,61663.86,292.50708,314.5314,55241.97,593.69214,2728730.0,4.8716348E7,0.0,186.9219,5045.9463,2.7696936,111443.04,223274.5,95047.41,11977.366,3.6285376E7,16524.72,198243.86,46000.0,92000.0,92000.0,92000.0,92000.0,92000.0
5.0,3.4798923,1441.0752,646.06726,14.418584,212.0265,500.60355,348575.66,23342.375,13343.17,1864.9795,60567.344,365703.88,2126.2893,9395.613,7.784992,15.849662,95.19049,88036.83,2319.6855,680.0844,1.6762736,90.54194,3046.1064,246.57124,21.345325,1807.7291,2513.2786,144156.89,40827.68,419.83493,357.51517,25866.703,590.6953,1254441.4,4.223218E7,0.0,39.570976,1439.3004,0.5383727,89652.06,91427.27,203302.03,11977.366,3.6285376E7,16524.72,198243.86,46000.0,92000.0,92000.0,92000.0,92000.0,92000.0
6.0,0.4069216,82.1437,1401.4153,5.2650924,107.68185,214.34682,114290.79,18133.67,904.036,1802.4446,62464.23,287686.6,721.58887,7286.0947,6.8620324,34.296417,301.7503,92903.445,279.15094,557.4352,0.18488117,167.91533,5944.5894,337.14066,16.313583,1055.9924,2205.3923,192782.27,47191.633,52.94108,389.62274,9009.766,457.0165,0.081065774,3.2744088E7,0.0,19.814983,398.49814,4.332633,94193.3,141556.88,165081.86,11977.366,3.6285376E7,16524.72,198243.86,46000.0,92000.0,92000.0,92000.0,92000.0,92000.0
7.0,2.2509782,82.06453,2306.9358,16.682938,363.0377,338.59253,21650.707,23618.828,888.9154,1755.015,42892.03,225529.89,749.66016,8280.791,75.813705,35.88357,343.97617,90854.6,164.73581,856.54974,3.3408763,261.94626,7760.8447,608.1749,18.471346,557.5575,2486.3281,152946.06,58906.71,0.07769722,29.519918,2227.8545,93.017876,2.5924997,2.2937756E7,0.025445169,14.277598,258.19452,43.306183,79129.43,123604.7,136125.06,11977.366,3.6285376E7,16524.72,198243.86,46000.0,92000.0,92000.0,92000.0,92000.0,92000.0
8.0,3.512697,249.53058,2921.722,33.66783,607.4727,506.20624,3723.528,22756.16,1004.5897,1690.9064,33250.09,184044.77,1645.4028,12786.512,89.08059,30.57881,633.56744,84832.08,7354.6084,1666.8912,8.508885,420.81793,9594.012,938.8983,18.800816,1074.669,2125.421,119607.8,88182.12,12.72001,46.511036,944.8737,86.837364,0.05036907,1.5290605E7,0.072004855,13.245256,343.57367,140.20744,74361.84,90355.61,47155.574,11977.366,3.6285376E7,16524.72,198243.86,46000.0,92000.0,92000.0,92000.0,92000.0,92000.0
9.0,4.2484303,331.7585,3553.467,39.467655,826.1288,618.7897,8220.994,39489.062,1379.655,1044.6448,28113.027,139426.14,1447.3372,13088.073,70.42555,17.36578,559.6289,76417.76,6311.49,2592.7634,84.606346,278.89447,9787.443,826.66095,6.829122,991.5,2223.5251,57822.145,126126.88,52.061943,312.43097,1708.1472,706.2473,0.2001085,9860128.0,0.026276894,10.27772,286.09943,339.55325,50225.527,86200.85,83578.98,11977.366,3.6285376E7,16524.72,198243.86,46000.0,92000.0,92000.0,92000.0,92000.0,92000.0
10.0,5.109264,353.17343,4002.5332,33.022427,972.846,560.0686,6645.45,37077.844,929.4567,511.89154,23946.125,116218.76,1082.4259,11464.129,80.75626,10.865288,451.96936,70059.54,3416.9553,2511.994,175.31793,454.12546,13488.516,1000.46094,19.615623,1355.8503,2883.1333,11669.9795,116869.336,44.68829,511.31628,9618.42,959.57794,1.8892138,6203660.0,0.013537002,11.3382015,150.21634,524.21454,57166.387,44512.016,52705.168,11977.366,3.6285376E7,16524.72,198243.86,46000.0,92000.0,92000.0,92000.0,92000.0,92000.0
