"Mean Trophic Level of fish species, weighted by fish catch, and including first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
1.0,NaN,3.9172475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9487133,3.941334,NaN,2.453268,4.6642776
2.0,NaN,3.9026427,4.0340023,4.7274604,NaN,4.63419,NaN,3.938265,3.9635177,4.0217896,3.8368697,2.5592632,2.762177,4.756356
3.0,NaN,3.891875,4.1713448,4.619104,NaN,4.54481,NaN,3.9299362,4.012952,4.23888,4.05232,2.646832,3.4355192,4.4309583
4.0,NaN,3.8655927,4.0726366,4.606953,NaN,4.5471544,NaN,3.928252,4.256838,3.9198182,4.144528,2.5640635,3.4939888,4.436086
5.0,4.469537,3.8715754,3.8286033,4.616999,NaN,4.566952,NaN,3.85254,4.255276,3.8176699,4.3402743,2.471362,3.3857741,4.5518217
6.0,4.749067,3.858266,3.8004537,4.652369,NaN,4.6771235,NaN,3.8761256,4.3176146,3.7562978,4.3901315,2.460298,3.6786501,4.66009
7.0,4.7287593,3.8777828,3.925859,4.6716304,NaN,4.6665783,NaN,3.8915374,4.374939,3.7403624,4.421394,2.4840546,3.6548204,4.6080227
8.0,4.82601,3.8778646,4.0427527,4.679449,NaN,4.6773744,NaN,3.885641,4.3325458,3.7424738,4.675266,2.4920805,3.630233,4.5669184
9.0,4.7278595,3.885298,4.1197863,4.6519365,NaN,4.734832,NaN,3.8718853,4.2015285,3.7591035,4.6728234,2.4830315,3.632752,4.6853843
10.0,4.835808,3.8871183,3.98211,4.636315,NaN,4.6897817,NaN,3.8894038,4.1347427,3.9063034,4.297239,2.534913,3.6388137,4.667914
11.0,4.832907,3.8795037,3.968773,4.665253,NaN,4.7018194,NaN,3.876807,4.0576887,3.8612373,4.34196,2.5388906,3.6219637,4.6489863
12.0,4.7665434,3.8770516,3.9826603,4.6514196,NaN,4.8129187,NaN,3.8803856,4.0780954,3.8719752,4.369687,2.589475,3.6296809,4.59717
13.0,4.7496758,3.8709352,3.9977956,4.7527494,NaN,4.905915,NaN,3.8782253,4.050092,3.9207146,4.113488,2.6617482,3.6189375,4.619488
14.0,4.7932267,3.8642485,3.9640503,4.805672,NaN,4.9075494,NaN,3.8864326,4.045803,3.9222014,4.220743,2.723688,3.5504086,4.772119
15.0,4.8029137,3.854637,3.95709,4.8130703,NaN,4.911289,NaN,3.888452,4.044002,3.9004076,4.2414436,3.071381,3.4449131,4.775256
16.0,4.794014,3.8516386,3.9543695,4.7832956,NaN,4.842933,NaN,3.8852806,3.9971874,3.9016137,4.2951436,3.1744015,3.3896008,4.7775054
17.0,4.8032503,3.8529596,3.9744518,4.7056503,NaN,4.7996936,NaN,3.888885,4.0135794,3.8587103,4.2964735,2.9497976,3.2904851,4.6408997
18.0,4.784973,3.867269,3.9697275,4.6561236,NaN,4.7471576,NaN,3.887676,4.0506544,3.8303866,4.332987,2.7376282,3.1524024,4.5762186
19.0,4.754036,3.8685222,3.967495,4.6313686,NaN,4.709702,NaN,3.8781023,4.0442753,3.8282955,4.3132133,2.6770658,2.9918752,4.5825605
20.0,4.7478585,3.8676162,3.9409752,4.6401205,NaN,4.62342,NaN,3.8681493,4.079492,3.7997167,4.0977755,2.7027154,2.9146984,4.5697174
21.0,4.7030754,3.8544497,3.9742937,4.666054,NaN,4.632907,NaN,3.8676867,4.080558,3.8183658,4.109737,2.795972,2.9148505,4.608002
22.0,4.709333,3.8525395,3.9459014,4.65422,NaN,4.683175,NaN,3.8734004,4.0767217,3.7836616,4.066861,2.9142864,2.900567,4.5963435
23.0,4.701246,3.8460941,3.9426591,4.603821,NaN,4.6059494,NaN,3.8835952,4.1733456,3.8064334,3.9997249,2.8431182,2.9073265,4.6852984
24.0,4.7202516,3.8549562,3.954605,4.6905355,NaN,4.679211,NaN,3.8838055,4.1639338,3.8156295,4.0447736,2.844683,2.9335246,4.6170273
25.0,4.7665186,3.8551154,3.97521,4.6905613,NaN,4.718212,NaN,3.8823323,4.1403894,3.8201,4.1494946,2.8201897,2.916837,4.5897207
26.0,4.799509,3.8612678,3.9856243,4.7121816,NaN,4.733483,NaN,3.875597,4.080876,3.788446,4.0792346,2.9380987,2.9267986,4.6863475
27.0,4.784413,3.8608906,3.9666631,4.7046185,NaN,4.7013693,NaN,3.8853092,4.029863,3.8197472,4.096804,2.887931,2.9529214,4.599927
