"Mean trophic level of fish species by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
1.0,0.0,3.5623949,3.9009602,3.6878405,4.1603703,3.740245,3.7814348,3.9063933,3.9423823,3.7463255,3.630487,3.6921613,2.4023752,2.8233368,4.261955
1.0,10.0,3.9353602,3.910759,4.318817,4.5999866,4.104017,4.474022,3.895707,3.8129697,3.8071969,4.469426,3.9418464,2.4858935,2.724992,4.52234
1.0,20.0,4.9481406,3.9186995,4.761326,4.768526,4.4516964,4.67192,3.8954887,3.5073612,4.045951,4.686815,4.6993823,NaN,3.5025897,4.6203055
1.0,30.0,NaN,NaN,4.617469,4.8576345,NaN,4.70672,NaN,4.1556516,4.4062734,NaN,NaN,NaN,NaN,4.672418
1.0,40.0,NaN,NaN,NaN,4.863576,NaN,NaN,NaN,3.9329984,3.778563,NaN,NaN,NaN,NaN,4.9234548
1.0,50.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,60.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,70.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,80.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,90.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,100.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,110.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,120.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,130.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,140.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,150.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,160.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,170.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,180.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,190.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,0.0,3.675017,3.9565434,3.7441308,4.1731052,3.7556992,3.6900947,3.9920337,3.9608676,3.6527748,3.768544,3.7109528,2.456213,2.2091343,4.1352806
2.0,10.0,4.0808764,3.8965201,4.0102396,4.7397194,4.134884,4.470428,3.8769107,3.8974779,3.9114583,4.0383506,3.8155458,2.4941955,2.7142248,4.548846
2.0,20.0,4.4052563,3.8686597,4.3040457,4.804969,4.5292106,4.773911,3.7313957,3.7342384,3.984389,4.427597,4.412596,3.6719396,3.6456637,4.5839295
2.0,30.0,4.8458357,3.802424,4.6264033,4.8536496,NaN,4.6559973,3.5531514,3.7798653,4.009543,4.5385523,4.4128313,NaN,3.6050832,4.6729074
2.0,40.0,NaN,3.6160595,4.715494,4.778692,NaN,4.7552032,NaN,3.7958517,4.122617,NaN,4.3824754,NaN,NaN,4.8534937
2.0,50.0,NaN,NaN,NaN,4.6195035,NaN,4.598277,NaN,NaN,3.929328,NaN,NaN,NaN,NaN,4.818471
2.0,60.0,NaN,NaN,NaN,NaN,NaN,4.447815,NaN,NaN,4.5458984,NaN,NaN,NaN,NaN,4.9131885
2.0,70.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.19555
2.0,80.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0239625
2.0,90.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,100.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,110.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,120.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,130.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,140.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,150.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,160.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,170.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,180.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,190.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,0.0,3.8116112,3.863708,3.705905,4.1935654,3.8563375,3.7620792,3.9910986,3.960454,3.6612318,3.7507632,3.7620816,2.477907,2.5119169,3.9222012
3.0,10.0,3.9179623,3.8986015,4.039694,4.529895,3.9776144,4.5078444,3.9356527,3.9282598,3.8405323,3.8649786,3.9350433,2.5482657,2.89713,4.53484
3.0,20.0,4.212434,3.8936827,4.210715,4.596507,4.1661987,4.7134337,3.9875681,3.8574789,3.8928463,4.3912745,4.5184674,2.9206026,3.6939368,4.5790024
3.0,30.0,4.63507,3.8232207,4.528719,4.80562,4.159877,4.701253,3.845721,3.8428357,3.88607,4.516694,4.315647,NaN,3.90879,4.666358
3.0,40.0,4.949455,3.819747,4.7022796,4.615977,NaN,4.5805993,NaN,3.8063228,3.9129605,NaN,4.337594,NaN,NaN,4.476185
3.0,50.0,NaN,4.029892,4.8021474,4.6190286,NaN,4.434344,NaN,3.5061193,4.3339863,NaN,5.094239,NaN,NaN,4.6107283
