"Mean Trophic Level of fish species, weighted by fish biomass, and excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
1.0,4.374326,3.906318,4.0161905,4.831451,4.0813503,4.6824346,3.9939258,3.8421218,3.8986104,3.9050596,3.9321175,2.4701629,2.4537106,4.66904
2.0,4.311001,3.899173,4.0405436,4.7450147,4.096145,4.6344867,3.9917696,3.912481,3.962983,4.0868683,3.827947,2.491283,2.750219,4.7796936
3.0,4.1006002,3.8893638,4.069416,4.620769,3.985907,4.5464215,3.9910104,3.926476,3.9869802,4.1777396,4.046339,2.5478466,3.4362366,4.438448
4.0,4.2508345,3.8608484,3.965515,4.6184235,3.9102404,4.548331,3.9869733,3.910828,4.1611276,4.0843115,4.1409154,2.4940689,3.4905977,4.445247
5.0,4.298034,3.8664315,3.8243709,4.627218,3.982551,4.567771,3.9679542,3.8911798,4.1654067,3.8939278,4.3390026,2.3880432,3.3779151,4.5971684
6.0,4.7314262,3.8470736,3.828598,4.660268,3.9523103,4.6769767,3.9290564,3.9032602,4.264541,3.8061342,4.395017,2.4014559,3.686908,4.6584287
7.0,4.752961,3.8730905,3.9314601,4.6807857,3.9610164,4.6660743,3.9170225,3.9043894,4.265902,3.7783537,4.421116,2.4591508,3.654923,4.620203
8.0,4.7915945,3.8744183,4.00746,4.684922,3.9819918,4.6768165,3.9339285,3.901617,4.21269,3.766585,4.6796284,2.386386,3.6316133,4.56167
9.0,4.6866083,3.8804917,3.9870706,4.659738,3.9557378,4.7339106,3.9473746,3.8937154,4.1460743,3.7823315,4.6694546,2.4031203,3.6337478,4.709168
10.0,4.787043,3.8845437,3.9591627,4.6442943,3.9458742,4.689794,3.9395463,3.9027126,4.0403886,3.8744097,4.31145,2.4747117,3.6388054,4.659224
11.0,4.775531,3.876146,3.9483411,4.6691947,3.9464753,4.7026167,3.9301078,3.9086418,4.020233,3.8982584,4.342977,2.5447116,3.6238446,4.667644
12.0,4.708648,3.8731344,3.949628,4.662997,3.9315324,4.8128057,3.9373915,3.903306,3.9966528,3.9242387,4.3693037,2.4872198,3.6310196,4.625813
13.0,4.6758256,3.8680043,3.933979,4.7492,3.9259381,4.9053216,3.935179,3.9098058,3.9775574,3.9465525,4.1195636,2.5426903,3.6193428,4.62917
14.0,4.6886225,3.859536,3.9333787,4.802668,3.929557,4.905784,3.9370852,3.9066324,3.9854286,3.9837394,4.2199373,2.5541906,3.551526,4.7806516
15.0,4.7295537,3.847391,3.9349067,4.808313,3.924803,4.9102964,3.9402683,3.90161,3.976106,3.9602938,4.2403493,2.716721,3.4467561,4.7979975
16.0,4.736402,3.8472304,3.9308703,4.780707,3.9348354,4.8417172,3.9447272,3.8988159,3.9528186,3.9509482,4.2983055,2.6519847,3.390697,4.7761874
17.0,4.737232,3.8490546,3.9389198,4.7131276,3.956102,4.7987866,3.9438562,3.8991733,3.9914758,3.9165733,4.297321,2.5664926,3.2897842,4.6693525
18.0,4.705777,3.8634229,3.932423,4.653451,3.9335308,4.74565,3.944194,3.897315,4.0057898,3.8774624,4.3351626,2.4758182,3.1500492,4.602529
19.0,4.6721997,3.8657305,3.9491775,4.639096,3.9382954,4.708893,3.9438612,3.8902311,4.0101223,3.8503153,4.315303,2.559348,2.9882536,4.6014724
20.0,4.661312,3.865947,3.924586,4.6409044,3.932755,4.6232653,3.9459486,3.8851902,4.0326867,3.8265598,4.1040697,2.5294406,2.9106193,4.6052084
21.0,4.641387,3.852527,3.9421499,4.659104,3.9254642,4.6342993,3.9457386,3.8863497,4.0405145,3.8437512,4.1127234,2.6860185,2.9112825,4.638781
22.0,4.6404834,3.8503108,3.930833,4.6452265,3.9316132,4.6826763,3.945727,3.8933597,4.058337,3.8191953,4.0697627,2.7015352,2.8965576,4.6077347
23.0,4.6343813,3.8434248,3.9306898,4.608801,3.9605482,4.6062703,3.943139,3.8941197,4.122422,3.8248575,4.001801,2.680091,2.9034953,4.6725154
24.0,4.648894,3.8526318,3.9372747,4.6893773,3.964522,4.6790476,3.9426017,3.894548,4.13426,3.831341,4.045404,2.7754362,2.929503,4.621294
25.0,4.684068,3.852111,3.9515257,4.6877737,3.9524646,4.7164273,3.9392314,3.8953228,4.090725,3.860909,4.146874,2.7732265,2.9110565,4.6156874
26.0,4.719708,3.8579984,3.9500864,4.698526,3.969184,4.73389,3.9452796,3.8932106,4.0189037,3.84327,4.081273,2.8235483,2.9220114,4.6914363
27.0,4.699679,3.858476,3.9414291,4.6938386,3.93133,4.702112,3.941627,3.902016,4.002196,3.8551788,4.097321,2.72976,2.9482064,4.602857
28.0,4.6375775,3.864507,3.9197671,4.7211695,3.9206645,4.714225,3.940466,3.9021676,3.9980133,3.8230429,4.076557,2.7668304,2.9668705,4.6214037
29.0,4.5899415,3.8629677,3.9264846,4.7226467,3.9222803,4.7950644,3.9415858,3.9039495,4.0015936,3.8245246,4.136892,2.8927257,2.9171443,4.6706104
30.0,4.57403,3.8618197,3.935027,4.615547,3.9232907,4.722085,3.9406295,3.9035487,3.9771318,3.8289752,4.0692835,3.018382,2.9217775,4.58751
31.0,4.605706,3.8671844,3.9270291,4.6830354,3.9373853,4.68379,3.9441302,3.9005408,4.0173984,3.8578234,4.127124,3.1166103,2.9141686,4.6823773
32.0,4.6200447,3.8600347,3.9439163,4.645821,3.9256773,4.788407,3.9446318,3.901701,4.0284266,3.8697984,4.1919975,3.2748868,2.913019,4.547928
33.0,4.622999,3.8646297,3.9289758,4.722774,3.929409,4.7383084,3.9444718,3.9021358,4.0487523,3.8873425,4.279027,2.8721712,2.8911903,4.60128
34.0,4.62636,3.861317,3.9430254,4.630014,3.9322517,4.707829,3.9384577,3.903081,4.0186205,3.8903883,4.2698436,2.5475965,2.9024076,4.5303497
35.0,4.6247287,3.8585887,3.941796,4.655536,3.9355156,4.659375,3.9434395,3.8992152,4.016429,3.9009917,4.2494035,2.4900267,2.8692076,4.5773582
36.0,4.627743,3.8532798,3.929414,4.622202,3.963693,4.7171273,3.9445045,3.899685,4.063649,3.8892734,4.2860494,2.5571692,2.8911395,4.615634
37.0,4.6091614,3.8491685,3.9376986,4.6012797,3.9818156,4.803331,3.94301,3.9019082,4.083418,3.900197,4.3281093,2.7162385,2.915705,4.6032906
38.0,4.6116214,3.8526917,3.9318035,4.665683,3.9428391,4.628785,3.9393044,3.9002414,4.079764,3.9306946,4.3599,2.797622,2.940113,4.5619307
39.0,4.6077247,3.8508213,3.9344456,4.6831837,3.9352171,4.6546025,3.9464078,3.8978107,4.092096,3.9102283,4.346377,2.8748524,2.8993819,4.55749
40.0,4.609199,3.859664,3.9317572,4.639234,3.9203339,4.6935863,3.9456754,3.8989072,4.0763426,3.875804,4.271691,2.904751,2.8947473,4.6574244
41.0,4.637499,3.867111,3.9412282,4.6599383,3.953397,4.781224,3.9445198,3.8986986,4.0761075,3.9043062,4.2203536,2.8087704,2.9041693,4.6264057
42.0,4.614002,3.8628664,3.9429324,4.6744323,3.9464612,4.734591,3.9425538,3.9027307,4.0672007,3.8578308,4.3006682,2.7599587,2.898521,4.599325
43.0,4.6735687,3.8560257,3.9472578,4.712595,3.9611573,4.7703714,3.9426808,3.902436,4.043223,3.8972075,4.196932,2.6678958,2.9348013,4.631762
44.0,4.681914,3.8537824,3.9640412,4.7302723,3.9497406,4.681031,3.944929,3.9046981,4.020244,3.8601916,4.0390844,2.8373377,2.942145,4.659218
