"Mean abundance (number of fish), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
1.0,1.54130704E8,1.98900976E8,1.81587673E11,1.31524288E9,3.57526E10,2.3254148E7,5.2325394E11,2.47074324E10,6.9282061E8,3.74522616E12,4.5034164E10,1.3537221E13,1.02703626E10,4.647977E9
2.0,2.2422296E8,1.00259536E8,1.42490649E11,3.4251584E9,4.3949945E10,2.2798424E7,2.15323722E11,9.5028316E9,2.9280912E8,1.96401021E11,2.46032241E10,1.3053342E13,2.98998733E9,8.1386676E10
3.0,2.05327504E8,1.1774764E7,1.45148838E11,5.0158454E9,1.28930376E10,3.1371472E7,1.83957033E10,7.2616243E8,5.7640124E7,2.23810314E10,4.2313239E9,1.06372803E13,5.8928902E8,1.32756201E11
4.0,2.27775456E8,1.2407731E7,1.47376275E11,4.4454205E9,3.8018153E9,3.9079688E7,1.85713562E9,2.81427808E8,2.5993852E7,2.27466527E11,2.10189747E9,7.626925E12,3.14798624E8,1.74128292E10
5.0,9.2689744E7,2.4359776E7,8.9594954E10,3.22288666E9,1.55901299E9,3.6489688E7,1.53801946E9,1.71747312E8,3.3542924E7,2.00256815E11,1.29018547E9,4.4258013E12,7.5395592E7,2.29829038E10
6.0,6210184.5,8243905.5,1.95844977E10,3.05239629E9,1.25431424E9,5.7146068E7,1.57743536E8,3.69579264E8,2.5135732E7,2.17632834E11,7.6615021E8,2.66124499E12,2.6529734E7,2.20445635E10
7.0,1.0878237E7,2.367152E7,5.072639E9,2.54654822E9,1.39000909E9,6.2897844E7,2.24054992E8,5.814247E8,2.1457252E7,1.29385177E11,1.04241448E8,1.59792562E12,2.4192214E7,2.04493496E10
8.0,1.7276084E7,3.9855988E7,2.61226522E9,2.16090675E9,2.55595392E9,5.807012E7,3.68985933E9,8.943792E8,2.5563904E7,6.2597562E10,9.3068248E7,9.5859389E11,2.9135314E7,1.40744212E10
9.0,2.1779864E7,5.4142048E7,4.5905254E9,1.68838822E9,2.52299648E9,4.105526E7,2.51803597E9,6.8518368E8,1.8817138E7,4.2515612E10,8.3372928E8,5.7507965E11,3.401332E7,8.443116E9
10.0,2.3511798E7,5.2966072E7,3.74686438E9,1.1604169E9,2.17825229E9,3.5179244E7,1.7624407E9,1.18486989E9,3.463802E7,1.52119132E10,1.23415987E9,3.44313889E11,3.4909304E7,9.3967636E9
