"Mean biomass (tons), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
1.0,726.345,700.6573,582460.25,91523.97,216341.75,1717.6299,343219.84,111441.695,28295.164,372505.0,69393.58,3.4795664E7,32653.65,176512.16
2.0,1576.1234,2097.3633,766133.7,653307.6,242447.45,21711.775,230515.56,67172.08,23271.613,204085.62,226367.52,8.913424E7,29619.791,1470709.6
3.0,1681.7325,337.8274,523745.4,607758.0,76879.61,51782.35,20749.371,7634.9995,4350.192,90707.46,92693.375,1.0520708E8,7288.826,830046.06
4.0,2253.51,370.26596,479640.06,523988.4,27931.81,73872.07,2615.2705,4336.964,3509.3203,150254.53,53620.355,1.01154984E8,4636.9014,405758.97
5.0,1884.8829,679.66046,360430.22,413980.56,10495.896,87126.64,2578.4006,3020.524,4111.8877,179868.03,25200.01,8.472124E7,1220.0251,364488.25
6.0,1468.0134,285.90588,122229.16,338697.5,7289.48,92134.56,686.4902,5644.106,3070.3926,226693.5,8901.341,6.3305348E7,344.31635,379185.3
7.0,2365.9338,676.56036,40940.88,259581.38,8243.516,90142.7,897.40656,7607.868,2846.7246,200081.77,2034.3221,4.4112332E7,281.072,320746.34
8.0,3128.9832,1084.7584,24480.758,210261.53,13419.654,84401.3,8000.7407,9663.701,3039.134,202443.86,1007.55695,2.9297452E7,451.7686,199363.94
9.0,3828.6206,1382.8239,44885.695,161725.86,13009.368,76072.58,8056.283,9874.8955,3061.6135,178747.17,2492.1426,1.8843278E7,599.3125,207308.52
10.0,4288.2725,1475.9102,40671.695,135295.05,11712.36,69692.9,5380.88,13585.259,4059.1755,126217.84,10387.645,1.1831894E7,663.73206,144037.22
11.0,4580.5137,2028.9072,25459.729,99190.66,12321.805,64087.867,6817.852,16443.795,4468.1475,90143.54,16298.399,7306987.5,985.10846,107051.336
12.0,4398.1973,2307.043,17654.002,73594.04,13998.539,57571.156,13200.481,19787.803,3570.2102,63413.223,14265.909,2523885.2,1793.0189,46439.992
13.0,2912.683,1748.5814,38755.984,71426.484,18394.646,52542.316,14396.396,18436.553,4269.3433,50484.387,27763.297,1067414.6,6192.982,27889.736
14.0,1646.6367,1544.6107,44946.156,56700.41,21747.105,47549.723,16631.607,15587.487,4822.2593,53203.242,28255.658,378617.38,17743.904,40670.367
15.0,1826.9562,1264.8475,27607.002,51189.137,18511.926,44414.906,26298.316,16637.385,4993.6406,61725.195,30807.54,91180.6,42997.06,46363.406
16.0,2062.5166,2105.5745,27960.977,40427.49,11813.696,40235.207,28958.06,17223.98,6413.268,75023.87,27416.613,166104.95,93962.87,62217.875
17.0,2111.8926,2440.5693,31183.947,34850.934,11353.9795,36371.49,27553.803,18315.61,6370.6816,108235.17,22567.43,402737.66,160716.33,99431.79
18.0,2138.612,3513.9548,36616.27,35681.418,12016.524,34243.836,31567.314,17545.674,6020.9736,154618.02,19133.834,629555.7,226762.88,109317.195
19.0,2263.624,4848.186,40313.402,38722.27,13216.376,32925.297,42450.613,16960.871,5820.2383,201583.61,26214.467,695219.5,315974.5,78085.73
20.0,2264.7336,5464.7803,41583.64,43620.37,11660.748,32390.146,44392.324,16735.22,5538.2935,230479.05,38722.01,615159.5,317846.22,99437.586
21.0,2013.6934,4040.2878,45127.043,42894.242,11085.946,32087.146,41036.69,16864.72,5635.2905,243231.8,49684.77,512718.94,305010.4,80448.87
22.0,2045.7051,3946.1672,45869.242,36285.01,10006.838,31698.38,33738.39,17425.574,5162.6553,252944.2,60638.84,474819.1,289458.53,81453.22
23.0,2370.3801,3855.7356,38280.777,39050.49,9561.27,31299.89,29299.258,19639.469,4439.125,239544.83,67387.445,451389.6,268074.78,64665.598
24.0,2735.183,3748.3853,31673.533,40571.242,9360.414,30534.094,25254.59,19764.33,3589.01,238660.64,66398.38,365090.53,260144.03,83617.61
25.0,2967.1575,3637.5134,29901.783,38604.47,9656.312,30872.178,25001.629,21290.062,3326.0325,226411.1,59182.266,293716.88,232452.88,173793.44
