"cumulative catch (number of fish caught per time step of saving). ex: if time step of saving is the year, then annual catches in fish numbers are saved"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
1.0,0.0,237407.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29164672E9,1.1416401E7,0.0,971136.06,1567486.6
2.0,0.0,743014.75,1.60015488E8,3367387.2,0.0,154335.73,0.0,2662594.0,3398926.2,1.9370616E8,1.38498688E8,1.27648553E10,3179755.2,1.3402727E7
3.0,0.0,30926.043,6.461518E7,2180682.0,0.0,147539.27,0.0,5574954.0,162139.92,1.0110429E7,2.3522618E7,2.12166308E10,140881.36,5.0547948E7
4.0,0.0,20202.363,7.3911576E7,3590610.2,0.0,118141.94,0.0,1122486.8,41204.195,1.12929656E8,8459467.0,1.66992271E10,67981.76,1.9203034E7
5.0,270.1366,21616.19,1.3595112E8,2892392.5,0.0,94080.43,0.0,30892.82,68642.99,1.22509768E8,2956327.5,1.29594501E10,20485.965,5378866.5
6.0,1085.0299,12120.884,6.820368E7,2710440.2,0.0,71033.5,0.0,25056.195,56565.61,1.62490896E8,986691.6,8.8113336E9,3955.5776,5520872.0
7.0,5885.252,27915.594,1.0477282E7,2260856.8,0.0,65161.926,0.0,30256.06,16505.492,1.15118944E8,282636.75,5.2910459E9,2337.1067,5470953.0
8.0,9246.549,46050.594,1245108.8,2101607.2,0.0,63093.887,0.0,75910.33,17176.738,7.394304E7,59987.098,3.17422234E9,4169.3013,5087739.0
9.0,7872.71,76210.516,664546.1,1819687.4,0.0,41920.375,0.0,133596.39,62319.363,3.6349384E7,89857.16,1.90441459E9,4054.427,2907050.0
10.0,6617.0107,74810.5,2432966.2,1557437.6,0.0,64691.156,0.0,120690.05,57743.883,1.637038E7,1141142.4,1.14038963E9,3082.5574,3007783.8
11.0,5807.619,97853.65,1736858.8,925539.94,0.0,55869.805,0.0,213894.97,99012.57,6990618.0,1955911.8,6.8213894E8,5693.8,1643530.4
12.0,5070.681,215720.47,1000878.9,605161.4,0.0,49056.688,0.0,530874.1,75790.46,4521488.0,1000501.4,2.527216E8,13202.837,660280.25
13.0,3045.169,140467.72,671507.9,646315.3,0.0,48854.48,0.0,460485.8,72683.49,3329056.8,4177576.5,1.01815672E8,52000.633,245443.86
14.0,2243.5837,122813.08,3038655.0,374932.16,0.0,44029.156,0.0,674399.7,110624.33,4455130.0,3169771.2,3.2875546E7,164635.89,532057.06
15.0,3329.261,107995.25,2571774.0,282909.44,0.0,48870.85,0.0,913468.6,132940.55,6409745.5,3859360.0,6131176.0,628717.4,688575.56
16.0,3784.5242,129933.516,1356730.4,196528.1,0.0,30071.861,0.0,1123556.1,166722.45,6511139.5,2907143.0,3801124.2,1846337.0,708003.3
17.0,3157.68,157492.08,1630849.5,155037.83,0.0,24716.629,0.0,1303809.5,310878.28,1.7872708E7,2330040.5,1.2830016E7,4102682.5,1225840.4
18.0,2610.1626,299649.97,1797674.1,143204.5,0.0,24314.117,0.0,1452026.6,230332.78,2.8558352E7,1629162.2,3.7771684E7,8008619.0,861449.75
