"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
1.0,0.0,3.3259864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.06506,76.61124,0.0,8.939862,348.46436
2.0,0.0,18.431929,1861.4891,3126.5728,0.0,199.02899,0.0,25.626905,335.5842,368.41672,1430.5587,156968.94,40.2029,2135.3013
3.0,0.0,2.9880788,1145.1248,2899.1729,0.0,487.27225,0.0,55.968723,55.985264,178.62302,566.06555,308641.62,8.327381,1174.2334
4.0,0.0,3.2026448,816.74603,2509.3574,0.0,688.5647,0.0,14.349645,42.691193,308.23923,320.49902,307086.47,5.448846,638.65344
5.0,0.24931127,5.9064507,713.3735,1946.7749,0.0,810.62335,0.0,2.7992697,53.284695,364.54657,151.89713,269605.16,1.6022754,525.59955
6.0,1.1750238,2.530815,420.55035,1542.9421,0.0,852.22144,0.0,4.2837687,46.298176,459.87082,49.69873,208975.44,0.36695236,540.30853
7.0,5.473018,5.8842607,89.7641,1166.4847,0.0,830.3457,0.0,5.2984924,36.851997,430.42316,12.9147005,145731.39,0.29048407,460.50394
8.0,10.914529,9.149167,28.832653,961.1985,0.0,776.5936,0.0,8.257847,36.091534,461.16925,5.46114,96852.87,0.55625486,292.8953
9.0,12.916516,11.811505,21.408136,755.8508,0.0,697.1419,0.0,15.581808,42.6975,373.49637,8.413667,62327.57,0.7315973,285.34116
10.0,14.208508,12.49865,49.144577,651.3007,0.0,640.4741,0.0,17.281796,43.893,273.0461,51.802708,39157.395,0.82844204,186.63452
11.0,14.898243,16.907791,39.687912,484.72797,0.0,588.5347,0.0,21.413198,60.809444,179.67117,99.43631,24197.344,1.1015015,141.56596
12.0,14.120708,19.874708,27.485374,337.38184,0.0,527.33484,0.0,25.03529,40.78195,133.64905,65.63427,9091.182,2.0660474,59.914227
13.0,8.258052,14.769383,24.110634,343.6995,0.0,483.09335,0.0,20.8953,44.36056,97.122,161.22795,3632.2358,7.1153474,36.883743
14.0,3.4317615,13.0707245,64.325165,281.79626,0.0,436.57086,0.0,25.667276,53.239124,117.45647,150.93503,1230.3864,19.511723,49.145824
15.0,5.038615,10.739642,59.434013,253.28537,0.0,409.06412,0.0,30.603428,55.892834,145.23611,183.91412,261.2024,48.835445,59.98712
16.0,6.6001325,18.062948,39.698414,207.0225,0.0,370.6075,0.0,41.239296,76.85069,169.0107,160.15375,195.72755,107.05354,82.98673
17.0,6.8028507,20.30606,50.275387,166.79295,0.0,334.08276,0.0,52.492172,96.95803,260.7155,134.87828,473.08755,189.15111,127.87511
18.0,6.487676,29.049215,52.432514,173.80304,0.0,315.47238,0.0,65.14944,80.53387,344.47388,104.970505,1175.6766,259.50906,153.23201
19.0,6.484076,39.829372,85.247,186.25195,0.0,303.00922,0.0,62.794678,85.41395,459.11993,148.24933,1798.5591,381.66916,103.34885
20.0,6.2798977,45.986664,83.74123,212.35915,0.0,299.42822,0.0,62.296173,80.77291,513.98303,223.5103,1874.522,394.39462,138.20424
21.0,5.758482,33.63037,88.153275,215.35675,0.0,296.29373,0.0,58.665276,82.721924,547.3969,285.0488,1515.304,368.96213,109.59195
22.0,5.943039,32.86895,101.75184,178.56223,0.0,293.38382,0.0,56.865246,86.94145,543.9285,354.26132,1219.538,353.77374,108.20379
23.0,6.8886495,31.944527,98.332535,189.33018,0.0,289.51422,0.0,68.62452,65.57624,491.32755,394.77136,1198.9814,329.65985,90.55851
24.0,7.983225,31.094467,78.90017,198.97737,0.0,280.75418,0.0,71.48481,58.43787,515.1047,397.5712,1128.0438,313.5639,114.58457
25.0,8.847024,30.398397,61.374084,192.65526,0.0,284.49673,0.0,72.6946,49.96134,473.20343,344.31598,876.65643,281.0326,238.23862
26.0,9.027349,32.34666,62.578945,168.09235,0.0,270.70242,0.0,77.764244,56.64167,416.78732,359.91714,656.68005,249.88364,203.62778
27.0,8.851035,35.976665,83.65186,167.39299,0.0,276.21365,0.0,83.0282,72.45444,391.90622,353.96567,554.9052,254.86348,145.42229
28.0,9.581977,41.0781,75.847824,169.43222,0.0,273.03683,0.0,82.05993,60.65141,396.2146,390.42737,452.43533,272.61478,92.78389
29.0,11.065726,37.548603,78.462006,169.73582,0.0,250.01515,0.0,83.2363,72.09468,385.18103,368.91998,348.387,338.08145,63.41522
30.0,12.967836,36.31747,85.23447,168.03265,0.0,226.75017,0.0,94.131294,71.664276,397.17322,362.4623,285.2583,384.44708,43.004196
31.0,14.1996155,41.30115,72.152374,166.737,0.0,212.78714,0.0,96.51623,82.13044,376.22592,291.10876,229.74521,404.83383,86.55752
32.0,16.328192,33.608208,77.86811,186.73602,0.0,201.60435,0.0,91.83109,80.28041,364.12906,237.14944,164.40671,411.8672,62.194305
33.0,19.214424,33.405197,70.62502,215.92577,0.0,187.01038,0.0,84.21798,74.37375,334.15863,184.29684,104.07443,429.50583,136.54912
34.0,20.874702,35.283443,59.343807,237.3381,0.0,169.47762,0.0,89.017555,87.85882,324.10596,178.93654,199.24374,435.47452,98.39348
35.0,22.657042,37.75773,46.640156,250.56682,0.0,153.4274,0.0,84.72092,82.04969,293.3192,206.62108,481.4793,409.94684,150.95586
36.0,25.079586,38.338406,63.544968,263.13614,0.0,139.02817,0.0,78.75794,93.85171,294.98822,208.78572,732.1527,397.9504,123.46197
37.0,27.731699,36.788017,67.63749,279.31445,0.0,124.61563,0.0,73.9598,91.27075,316.67596,197.33809,768.5906,378.70648,126.71672
38.0,29.37424,34.657333,68.950615,263.30966,0.0,124.17734,0.0,76.93424,96.913475,321.28088,159.49814,684.30164,396.76303,106.92979
39.0,31.970886,31.723454,54.514706,224.54732,0.0,131.04723,0.0,73.274536,103.62229,333.98947,133.94073,648.1211,420.18552,118.563705
40.0,34.39218,38.321148,55.810757,213.84763,0.0,137.75307,0.0,83.44765,97.33521,364.083,116.78133,590.51227,397.24988,104.63148
41.0,36.65831,41.587925,69.389824,194.45712,0.0,138.08347,0.0,79.08341,105.01045,406.53976,158.10953,597.4328,408.38705,156.63596
42.0,38.12068,38.05406,94.6664,157.18321,0.0,132.44397,0.0,82.77715,113.51479,402.09668,205.30672,592.9848,379.36746,202.61394
43.0,40.063965,35.39324,88.057915,165.29509,0.0,120.387505,0.0,86.26718,123.94742,411.11618,307.4177,564.78503,346.1652,210.16061
44.0,41.4124,34.726814,77.705025,163.31068,0.0,109.031685,0.0,105.112274,136.32167,404.41858,470.76654,534.1118,337.41537,186.30614
